id,x,y
ZMR1,-106.60005873023667,434.3373267428582
BITE1,74.44780962848343,486.4611383765392
DIGZ2,76.12483204693284,394.16197113893486
ROT3,252.1107020347087,428.54800088742974
HGR1,390.5929924960491,434.18124272902145
FLESH2,492.9012218450865,430.38758933427147
DEVOUR3,612.4486170360108,427.5890196658668
CHEW4,745.3667378672452,420.8711686961347
SPAWN1,-111.31300624592528,214.1031492342365
FAITH2,-6.544424887073191,309.014813104153
DTUR3,-12.16498579866244,162.72254158981224
MUT8,100.91681728090663,221.95468568536506
REPLX,256.513366285988,225.90714987521076
CLONE9,366.30473384455036,229.37575994529647
BROOD7,539.1418082403767,227.76424357391278
STP12,93.11945713886901,34.30035231449577
WALKR1,-94.684087642544,648.6244852304216
STAG2,59.84931680672369,644.5958341321484
CRAWL3,204.0393319489165,642.5062457036556
LURCH4,373.1357077791128,639.6745506182149
SHAMB5,497.62322404878324,636.3965211880653
CHASE6,649.6569387984106,633.5262815405343
