id,type,label,logic,pathway,full_label
hsa:59283,gene,CACNG8; voltage-dependent calcium channel gamma-8 subunit,,path:hsa04010,CACNG8; voltage-dependent calcium channel gamma-8 subunit
hsa:59284,gene,CACNG7; voltage-dependent calcium channel gamma-7 subunit isoform 1,,path:hsa04010,CACNG7; voltage-dependent calcium channel gamma-7 subunit isoform 1
hsa:59285,gene,CACNG6; voltage-dependent calcium channel gamma-6 subunit isoform a,,path:hsa04010,CACNG6; voltage-dependent calcium channel gamma-6 subunit isoform a
hsa:773,gene,CACNA1A,,path:hsa04010,"CACNA1A, APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6; voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform 4"
hsa:774,gene,CACNA1B,,path:hsa04010,"CACNA1B, BIII, CACNL1A5, CACNN, Cav2.2, DYT23, NEDNEH; voltage-dependent N-type calcium channel subunit alpha-1B isoform 1"
hsa:775,gene,CACNA1C,,path:hsa04010,"CACNA1C, CACH2, CACN2, CACNA1C-IT2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, NEDHLSS, TS, TS. LQT8; voltage-dependent L-type calcium channel subunit alpha-1C isoform 18"
hsa:776,gene,CACNA1D,,path:hsa04010,"CACNA1D, CACH3, CACN4, CACNL1A2, CCHL1A2, Cav1.3, PASNA, SANDD; voltage-dependent L-type calcium channel subunit alpha-1D isoform b"
hsa:777,gene,CACNA1E,,path:hsa04010,"CACNA1E, BII, CACH6, CACNL1A6, Cav2.3, DEE69, EIEE69, gm139; voltage-dependent R-type calcium channel subunit alpha-1E isoform 1"
hsa:778,gene,CACNA1F,,path:hsa04010,"CACNA1F, AIED, COD3, COD4, CORDX, CORDX3, CSNB2, CSNB2A, CSNBX2, Cav1.4, Cav1.4alpha1, JM8, JMC8, OA2; voltage-dependent L-type calcium channel subunit alpha-1F isoform 1"
hsa:779,gene,CACNA1S,,path:hsa04010,"CACNA1S, CACNL1A3, CCHL1A3, CMYO18, CMYP18, Cav1.1, DHPRM, HOKPP, HOKPP1, MHS5, TTPP1, hypoPP; voltage-dependent L-type calcium channel subunit alpha-1S"
hsa:781,gene,CACNA2D1,,path:hsa04010,"CACNA2D1, CACNA2, CACNL2A, CCHL2A, DEE110, LINC01112, lncRNA-N3, MHS3; voltage-dependent calcium channel subunit alpha-2/delta-1 isoform 3 preproprotein"
hsa:782,gene,CACNB1,,path:hsa04010,"CACNB1, CAB1, CACNLB1, CCHLB1; voltage-dependent L-type calcium channel subunit beta-1 isoform 1"
hsa:783,gene,CACNB2,,path:hsa04010,"CACNB2, CAB2, CACNLB2, CAVB2, MYSB; voltage-dependent L-type calcium channel subunit beta-2 isoform 2"
hsa:784,gene,CACNB3,,path:hsa04010,"CACNB3, CAB3, CACNLB3; voltage-dependent L-type calcium channel subunit beta-3 isoform 1"
hsa:785,gene,CACNB4,,path:hsa04010,"CACNB4, CAB4, CACNLB4, EA5, EIG9, EJM, EJM4, EJM6; voltage-dependent L-type calcium channel subunit beta-4 isoform b"
hsa:786,gene,CACNG1,,path:hsa04010,"CACNG1, CACNLG; voltage-dependent calcium channel gamma-1 subunit"
hsa:8911,gene,CACNA1I,,path:hsa04010,"CACNA1I, Cav3.3, NEDSIS, ca(v)3.3; voltage-dependent T-type calcium channel subunit alpha-1I isoform a"
hsa:8912,gene,CACNA1H,,path:hsa04010,"CACNA1H, CACNA1HB, Cav3.2, ECA6, EIG6, HALD4; voltage-dependent T-type calcium channel subunit alpha-1H isoform a"
hsa:8913,gene,CACNA1G,,path:hsa04010,"CACNA1G, Ca(V)T.1, Cav3.1, NBR13, SCA42, SCA42ND; voltage-dependent T-type calcium channel subunit alpha-1G isoform 1"
hsa:9254,gene,CACNA2D2,,path:hsa04010,"CACNA2D2, CACNA2D, CASVDD; voltage-dependent calcium channel subunit alpha-2/delta-2 isoform c precursor"
hsa:93589,gene,CACNA2D4,,path:hsa04010,"CACNA2D4, RCD4; voltage-dependent calcium channel subunit alpha-2/delta-4"
fu:50b8d5ca,functional_unit,fu:50b8d5ca,OR,path:hsa04010,
hsa:3164,gene,NR4A1,,path:hsa04010,"NR4A1, GFRP1, HMR, N10, NAK-1, NGFIB, NP10, NUR77, TR3; nuclear receptor subfamily 4immunitygroup A member 1 isoform 1"
fu:2bd73b60,functional_unit,fu:2bd73b60,SINGLE,path:hsa04010,
hsa:5598,gene,MAPK7,,path:hsa04010,"MAPK7, BMK1, ERK4, ERK5, PRKM7; mitogen-activated protein kinase 7 isoform 1"
fu:7bae22aa,functional_unit,fu:7bae22aa,SINGLE,path:hsa04010,
hsa:5607,gene,MAP2K5,,path:hsa04010,"MAP2K5, HsT17454, MAPKK5, MEK5, PRKMK5; dual specificity mitogen-activated protein kinase kinase 5 isoform A"
fu:7a9bcb8b,functional_unit,fu:7a9bcb8b,SINGLE,path:hsa04010,
hsa:51701,gene,NLK; serine/threonine-protein kinase NLK,,path:hsa04010,NLK; serine/threonine-protein kinase NLK
fu:d4eaeabe,functional_unit,fu:d4eaeabe,SINGLE,path:hsa04010,
hsa:994,gene,CDC25B,,path:hsa04010,"CDC25B, MPIP2; M-phase inducer phosphatase 2 isoform 1"
fu:6f5d1977,functional_unit,fu:6f5d1977,SINGLE,path:hsa04010,
hsa:8986,gene,RPS6KA4,,path:hsa04010,"RPS6KA4, MSK2, RSK-B, S6K-alpha-4; ribosomal protein S6 kinase alpha-4 isoform a"
hsa:9252,gene,RPS6KA5,,path:hsa04010,"RPS6KA5, MSK1, MSPK1, RLPK; ribosomal protein S6 kinase alpha-5 isoform a"
fu:12c0edde,functional_unit,fu:12c0edde,OR,path:hsa04010,
hsa:7867,gene,MAPKAPK3,,path:hsa04010,"MAPKAPK3, 3PK, MAPKAP-K3, MAPKAP3, MAPKAPK-3, MDPT3, MK-3, MK3; MAP kinase-activated protein kinase 3"
hsa:9261,gene,MAPKAPK2,,path:hsa04010,"MAPKAPK2, MAPKAP-K2, MK-2, MK2; MAP kinase-activated protein kinase 2 isoform 2"
fu:e02d83fb,functional_unit,fu:e02d83fb,OR,path:hsa04010,
hsa:468,gene,ATF4,,path:hsa04010,"ATF4, CREB-2, CREB2, TAXREB67, TXREB; cyclic AMP-dependent transcription factor ATF-4"
fu:e4d57228,functional_unit,fu:e4d57228,SINGLE,path:hsa04010,
hsa:4208,gene,MEF2C,,path:hsa04010,"MEF2C, C5DELq14.3, DEL5q14.3, NEDHSIL; myocyte-specific enhancer factor 2C isoform 1"
fu:a418f206,functional_unit,fu:a418f206,SINGLE,path:hsa04010,
hsa:4149,gene,MAX,,path:hsa04010,"MAX, PDMCS, bHLHd4; protein max isoform a"
fu:710fa26e,functional_unit,fu:710fa26e,SINGLE,path:hsa04010,
hsa:1649,gene,DDIT3,,path:hsa04010,"DDIT3, AltDDIT3, C/EBPzeta, CEBPZ, CHOP, CHOP-10, CHOP10, GADD153; DNA damage-inducible transcript 3 protein isoform 2"
fu:d3a7cd16,functional_unit,fu:d3a7cd16,SINGLE,path:hsa04010,
hsa:2005,gene,ELK4,,path:hsa04010,"ELK4, SAP1; ETS domain-containing protein Elk-4 isoform a"
fu:6e8358a6,functional_unit,fu:6e8358a6,SINGLE,path:hsa04010,
hsa:7157,gene,TP53,,path:hsa04010,"TP53, BCC7, BMFS5, LFS1, P53, TRP53; cellular tumor antigen p53 isoform a"
fu:2765f866,functional_unit,fu:2765f866,SINGLE,path:hsa04010,
hsa:2002,gene,ELK1; ETS domain-containing protein Elk-1 isoform a,,path:hsa04010,ELK1; ETS domain-containing protein Elk-1 isoform a
fu:2829f3fa,functional_unit,fu:2829f3fa,SINGLE,path:hsa04010,
hsa:1386,gene,ATF2,,path:hsa04010,"ATF2, CRE-BP1, CREB-2, CREB2, HB16, TREB7; cyclic AMP-dependent transcription factor ATF-2 isoform 1"
fu:b8daabb1,functional_unit,fu:b8daabb1,SINGLE,path:hsa04010,
hsa:1432,gene,MAPK14,,path:hsa04010,"MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA; mitogen-activated protein kinase 14 isoform 2"
hsa:5600,gene,MAPK11,,path:hsa04010,"MAPK11, P38B, P38BETA2, PRKM11, SAPK2, SAPK2B, p38-2, p38Beta; mitogen-activated protein kinase 11"
hsa:5603,gene,MAPK13,,path:hsa04010,"MAPK13, MAPK 13, MAPK-13, PRKM13, SAPK4, p38delta; mitogen-activated protein kinase 13"
hsa:6300,gene,MAPK12,,path:hsa04010,"MAPK12, ERK-6, ERK3, ERK6, MAPK 12, P38GAMMA, PRKM12, SAPK-3, SAPK3; mitogen-activated protein kinase 12 isoform 1"
fu:0e6de9c1,functional_unit,fu:0e6de9c1,OR,path:hsa04010,
hsa:5536,gene,PPP5C,,path:hsa04010,"PPP5C, PP5, PPP5, PPT; serine/threonine-protein phosphatase 5 isoform 1"
fu:bcd1b474,functional_unit,fu:bcd1b474,SINGLE,path:hsa04010,
hsa:5608,gene,MAP2K6,,path:hsa04010,"MAP2K6, CRCMSL, MAPKK6, MEK6, MKK6, PRKMK6, SAPKK-3, SAPKK3; dual specificity mitogen-activated protein kinase kinase 6 isoform 1"
fu:9b79cc66,functional_unit,fu:9b79cc66,SINGLE,path:hsa04010,
hsa:5606,gene,MAP2K3,,path:hsa04010,"MAP2K3, MAPKK3, MEK3, MKK3, PRKMK3, SAPKK-2, SAPKK2; dual specificity mitogen-activated protein kinase kinase 3 isoform B"
fu:8e7a48d2,functional_unit,fu:8e7a48d2,SINGLE,path:hsa04010,
fu:c7805fb1,functional_unit,fu:c7805fb1,OR,path:hsa04010,
fu:18dd62ea,functional_unit,fu:18dd62ea,OR,path:hsa04010,
hsa:5494,gene,PPM1A,,path:hsa04010,"PPM1A, PP2C-ALPHA, PP2CA, PP2Calpha; protein phosphatase 1A isoform 1"
fu:6a59bd52,functional_unit,fu:6a59bd52,SINGLE,path:hsa04010,
hsa:10000,gene,AKT3,,path:hsa04010,"AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2; RAC-gamma serine/threonine-protein kinase isoform 1"
hsa:207,gene,AKT1,,path:hsa04010,"AKT1, AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA; RAC-alpha serine/threonine-protein kinase"
hsa:208,gene,AKT2,,path:hsa04010,"AKT2, HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA; RAC-beta serine/threonine-protein kinase isoform 1"
fu:f16704ad,functional_unit,fu:f16704ad,OR,path:hsa04010,
hsa:51347,gene,TAOK3,,path:hsa04010,"TAOK3, DPK, JIK, MAP3K18, hKFC-A; serine/threonine-protein kinase TAO3 isoform b"
hsa:57551,gene,TAOK1,,path:hsa04010,"TAOK1, DDIB, KFC-B, MAP3K16, MARKK, PSK-2, PSK2, TAO1, hKFC-B, hTAOK1; serine/threonine-protein kinase TAO1 isoform 1"
hsa:9344,gene,TAOK2,,path:hsa04010,"TAOK2, MAP3K17, PSK, PSK1, PSK1-BETA, TAO1, TAO2, Tao2beta; serine/threonine-protein kinase TAO2 isoform 1"
fu:1f4f74f7,functional_unit,fu:1f4f74f7,OR,path:hsa04010,
hsa:4216,gene,MAP3K4,,path:hsa04010,"MAP3K4, MAPKKK4, MEKK 4, MEKK4, MTK1, PRO0412; mitogen-activated protein kinase kinase kinase 4 isoform a"
fu:d786dc07,functional_unit,fu:d786dc07,SINGLE,path:hsa04010,
hsa:3315,gene,HSPB1,,path:hsa04010,"HSPB1, CMT2F, HEL-S-102, HMN2B, HMND3, HS.76067, HSP27, HSP28, Hsp25, SRP27; heat shock protein beta-1"
fu:994a391a,functional_unit,fu:994a391a,SINGLE,path:hsa04010,
hsa:6885,gene,MAP3K7,,path:hsa04010,"MAP3K7, CSCF, FMD2, MEKK7, TAK1, TGF1a; mitogen-activated protein kinase kinase kinase 7 isoform B"
fu:97879d88,functional_unit,fu:97879d88,SINGLE,path:hsa04010,
hsa:4217,gene,MAP3K5,,path:hsa04010,"MAP3K5, ASK1, MAPKKK5, MEKK5; mitogen-activated protein kinase kinase kinase 5 isoform 2"
fu:4d24e602,functional_unit,fu:4d24e602,SINGLE,path:hsa04010,
hsa:9064,gene,MAP3K6,,path:hsa04010,"MAP3K6, ASK2, MAPKKK6, MEKK6; mitogen-activated protein kinase kinase kinase 6 isoform 1"
fu:c15cfcb3,functional_unit,fu:c15cfcb3,SINGLE,path:hsa04010,
hsa:51776,gene,MAP3K20,,path:hsa04010,"MAP3K20, AZK, CNM6, MLK7, MLT, MLTK, MLTKalpha, MLTKbeta, MRK, SFMMP, ZAK, mlklak, pk; mitogen-activated protein kinase kinase kinase 20 isoform 1"
fu:6d639c82,functional_unit,fu:6d639c82,SINGLE,path:hsa04010,
hsa:7786,gene,MAP3K12,,path:hsa04010,"MAP3K12, DLK, HP09298, MEKK12, MUK, ZPK, ZPKP1; mitogen-activated protein kinase kinase kinase 12 isoform 2"
hsa:9175,gene,MAP3K13,,path:hsa04010,"MAP3K13, LZK, MEKK13, MLK; mitogen-activated protein kinase kinase kinase 13 isoform 1"
fu:cde1c9cd,functional_unit,fu:cde1c9cd,OR,path:hsa04010,
hsa:4293,gene,MAP3K9,,path:hsa04010,"MAP3K9, MEKK9, MLK1, PRKE1; mitogen-activated protein kinase kinase kinase 9 isoform 2"
hsa:4294,gene,MAP3K10,,path:hsa04010,"MAP3K10, MEKK10, MLK2, MST; mitogen-activated protein kinase kinase kinase 10"
hsa:84451,gene,MAP3K21,,path:hsa04010,"MAP3K21, MLK4, dJ862P8.3; mitogen-activated protein kinase kinase kinase 21"
fu:92bbe20c,functional_unit,fu:92bbe20c,OR,path:hsa04010,
hsa:5871,gene,MAP4K2,,path:hsa04010,"MAP4K2, BL44, GCK, RAB8IP; mitogen-activated protein kinase kinase kinase kinase 2 isoform 1"
fu:a1ac21ac,functional_unit,fu:a1ac21ac,SINGLE,path:hsa04010,
hsa:6788,gene,STK3,,path:hsa04010,"STK3, KRS1, MST2; serine/threonine-protein kinase 3 isoform 1"
hsa:6789,gene,STK4,,path:hsa04010,"STK4, KRS2, MST1, YSK3; serine/threonine-protein kinase 4 isoform 1"
fu:3c523d6a,functional_unit,fu:3c523d6a,OR,path:hsa04010,
hsa:51295,gene,ECSIT,,path:hsa04010,"ECSIT, SITPEC; evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial isoform 1 precursor"
fu:89daa831,functional_unit,fu:89daa831,SINGLE,path:hsa04010,
hsa:23118,gene,TAB2,,path:hsa04010,"TAB2, CHTD2, MAP3K7IP2, TAB-2; TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform a"
fu:8c87313f,functional_unit,fu:8c87313f,SINGLE,path:hsa04010,
hsa:10454,gene,TAB1,,path:hsa04010,"TAB1, 3'-Tab1, MAP3K7IP1; TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 isoform alpha"
fu:99e19c6f,functional_unit,fu:99e19c6f,SINGLE,path:hsa04010,
hsa:10912,gene,GADD45G,,path:hsa04010,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17; growth arrest and DNA damage-inducible protein GADD45 gamma"
hsa:1647,gene,GADD45A,,path:hsa04010,"GADD45A, DDIT1, GADD45; growth arrest and DNA damage-inducible protein GADD45 alpha isoform 1"
hsa:4616,gene,GADD45B,,path:hsa04010,"GADD45B, GADD45BETA, MYD118; growth arrest and DNA damage-inducible protein GADD45 beta"
fu:75ce83fa,functional_unit,fu:75ce83fa,OR,path:hsa04010,
hsa:7189,gene,TRAF6,,path:hsa04010,"TRAF6, MGC:3310, RNF85; TNF receptor-associated factor 6"
fu:b320d8be,functional_unit,fu:b320d8be,SINGLE,path:hsa04010,
hsa:1616,gene,DAXX,,path:hsa04010,"DAXX, BING2, DAP6, EAP1, SMIM40; death domain-associated protein 6 isoform a"
fu:1aacd641,functional_unit,fu:1aacd641,SINGLE,path:hsa04010,
hsa:7186,gene,TRAF2,,path:hsa04010,"TRAF2, MGC:45012, RNF117, TRAP, TRAP3; TNF receptor-associated factor 2"
fu:65853de6,functional_unit,fu:65853de6,SINGLE,path:hsa04010,
hsa:836,gene,CASP3,,path:hsa04010,"CASP3, CPP32, CPP32B, SCA-1; caspase-3 isoform a preproprotein"
fu:6a0ffa28,functional_unit,fu:6a0ffa28,SINGLE,path:hsa04010,
hsa:929,gene,CD14; monocyte differentiation antigen CD14 precursor,,path:hsa04010,CD14; monocyte differentiation antigen CD14 precursor
fu:51004d5d,functional_unit,fu:51004d5d,SINGLE,path:hsa04010,
hsa:7046,gene,TGFBR1,,path:hsa04010,"TGFBR1, AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I; TGF-beta receptor type-1 isoform 1 precursor"
hsa:7048,gene,TGFBR2,,path:hsa04010,"TGFBR2, AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII, tbetaR-II; TGF-beta receptor type-2 isoform B precursor"
fu:0c93fcbb,functional_unit,fu:0c93fcbb,OR,path:hsa04010,
hsa:355,gene,FAS,,path:hsa04010,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6; tumor necrosis factor receptor superfamily member 6 isoform 1 precursor"
fu:9f986306,functional_unit,fu:9f986306,SINGLE,path:hsa04010,
hsa:3554,gene,IL1R1,,path:hsa04010,"IL1R1, CD121A, CRMO3, D2S1473, IL-1R-alpha, IL-1RT1, IL1R, IL1RA, P80; interleukin-1 receptor type 1 isoform 1 precursor"
hsa:3556,gene,IL1RAP,,path:hsa04010,"IL1RAP, C3orf13, IL-1RAcP, IL1R3; interleukin-1 receptor accessory protein isoform 1 precursor"
fu:db5e9fba,functional_unit,fu:db5e9fba,OR,path:hsa04010,
hsa:7132,gene,TNFRSF1A,,path:hsa04010,"TNFRSF1A, CD120a, FPF, TBP1, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR55, TNFR60, p55, p55-R, p60; tumor necrosis factor receptor superfamily member 1A isoform 1 precursor"
fu:db5fcc02,functional_unit,fu:db5fcc02,SINGLE,path:hsa04010,
hsa:7040,gene,TGFB1,,path:hsa04010,"TGFB1, CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta; transforming growth factor beta-1 proprotein preproprotein"
hsa:7042,gene,TGFB2,,path:hsa04010,"TGFB2, G-TSF, LDS4, TGF-beta2; transforming growth factor beta-2 proprotein isoform 2 preproprotein"
hsa:7043,gene,TGFB3,,path:hsa04010,"TGFB3, ARVD, ARVD1, LDS5, RNHF, TGF-beta3; transforming growth factor beta-3 proprotein isoform 1 preproprotein"
fu:928e628f,functional_unit,fu:928e628f,OR,path:hsa04010,
hsa:3552,gene,IL1A,,path:hsa04010,"IL1A, IL-1 alpha, IL-1A, IL1, IL1-ALPHA, IL1F1; interleukin-1 alpha precursor"
hsa:3553,gene,IL1B,,path:hsa04010,"IL1B, IL-1, IL1-BETA, IL1F2, IL1beta; interleukin-1 beta proprotein"
fu:1eb26222,functional_unit,fu:1eb26222,OR,path:hsa04010,
hsa:7124,gene,TNF,,path:hsa04010,"TNF, DIF, IMD127, TNF-alpha, TNFA, TNFSF2, TNLG1F; tumor necrosis factor"
fu:501044c1,functional_unit,fu:501044c1,SINGLE,path:hsa04010,
hsa:8550,gene,MAPKAPK5,,path:hsa04010,"MAPKAPK5, MAPKAP-K5, MK-5, MK5, NCFD, PRAK; MAP kinase-activated protein kinase 5 isoform 2"
fu:cdd3532a,functional_unit,fu:cdd3532a,SINGLE,path:hsa04010,
hsa:5879,gene,RAC1,,path:hsa04010,"RAC1, MIG5, MRD48, Rac-1, TC-25, p21-Rac1; ras-related C3 botulinum toxin substrate 1 isoform Rac1"
hsa:5880,gene,RAC2,,path:hsa04010,"RAC2, EN-7, Gx, HSPC022, IMD73A, IMD73B, IMD73C, p21-Rac2; ras-related C3 botulinum toxin substrate 2"
hsa:5881,gene,RAC3; ras-related C3 botulinum toxin substrate 3 isoform 1,,path:hsa04010,RAC3; ras-related C3 botulinum toxin substrate 3 isoform 1
hsa:998,gene,CDC42,,path:hsa04010,"CDC42, CDC42Hs, G25K, TKS; cell division control protein 42 homolog isoform 1 precursor"
fu:6b7b17da,functional_unit,fu:6b7b17da,OR,path:hsa04010,
hsa:5058,gene,PAK1,,path:hsa04010,"PAK1, IDDMSSD, PAKalpha, alpha-PAK, p65-PAK; serine/threonine-protein kinase PAK 1 isoform 2"
hsa:5062,gene,PAK2,,path:hsa04010,"PAK2, KNO2, PAK65, PAKgamma; serine/threonine-protein kinase PAK 2"
fu:3c4681be,functional_unit,fu:3c4681be,OR,path:hsa04010,
hsa:10746,gene,MAP3K2,,path:hsa04010,"MAP3K2, MEKK2, MEKK2B; mitogen-activated protein kinase kinase kinase 2"
