Gene Symbol Origin,Gene Symbol Target,Combined Score
ARF5,ARFGAP2,0.499
ARF5,ERP44,0.531
ARF5,TMED10,0.499
ARF5,COPB1,0.565
ARF5,ARCN1,0.554
ARF5,KDELR3,0.499
ARF5,SEC22B,0.499
ARF5,RAB1B,0.499
ARF5,TMED9,0.499
ARF5,TMED3,0.499
ARF5,RAB1A,0.499
ARF5,COPG2,0.604
ARF5,RAB11FIP3,0.657
ARF5,COPE,0.58
ARF5,SURF4,0.499
ARF5,ARFGAP3,0.499
ARF5,ARFIP2,0.457
ARF5,IKBKG,0.562
ARF5,ARF3,0.477
ARF5,SERPINH1,0.477
ARF5,COPA,0.61
ARF5,COPG1,0.604
ARF5,USO1,0.499
ARF5,ARF1,0.625
ARF5,COPZ2,0.516
ARF5,ARF4,0.675
ARF5,TMED7,0.499
ARF5,KDELR1,0.499
ARF5,TMED2,0.499
ARF5,GBF1,0.63
ARF5,ARFGAP1,0.499
ARF5,COPB2,0.581
ARF5,COPZ1,0.616
ARF5,GORAB,0.466
ARF5,NUDCD1,0.619
ARF5,KDELR2,0.499
M6PR,VAMP4,0.4
M6PR,VAMP7,0.499
M6PR,PLIN3,0.716
M6PR,TFRC,0.4
M6PR,VAMP8,0.499
M6PR,SCARB2,0.4
M6PR,AP2S1,0.499
M6PR,VPS51,0.499
M6PR,VPS54,0.499
M6PR,STX16,0.499
M6PR,AP1B1,0.499
M6PR,CD4,0.4
M6PR,GGA2,0.43
M6PR,VAMP2,0.499
M6PR,AP1S2,0.499
M6PR,STX10,0.499
M6PR,DNM2,0.499
M6PR,GNS,0.499
M6PR,VPS53,0.499
M6PR,IGF2R,0.9
M6PR,TF,0.4
M6PR,DNASE2,0.499
M6PR,CLTA,0.499
M6PR,AP1S1,0.499
M6PR,VPS52,0.499
M6PR,AP1S3,0.499
M6PR,VAMP3,0.499
M6PR,CTSZ,0.499
M6PR,GGA1,0.764
M6PR,AP2B1,0.499
M6PR,CLTC,0.499
M6PR,AP2A2,0.499
M6PR,RABEPK,0.499
M6PR,VTI1A,0.499
M6PR,IL7R,0.4
M6PR,ARRB1,0.499
M6PR,CD3G,0.4
M6PR,SLC2A8,0.4
M6PR,AP1G1,0.499
M6PR,TGOLN2,0.4
M6PR,ARF1,0.499
M6PR,CD3D,0.4
M6PR,AP2A1,0.499
M6PR,AP2M1,0.499
M6PR,RHOBTB3,0.499
M6PR,AP1M1,0.499
M6PR,GGA3,0.97
M6PR,RAB9A,0.499
M6PR,AP1M2,0.499
M6PR,GCC2,0.529
M6PR,TXNDC5,0.499
FKBP4,AGO2,0.452
FKBP4,PPID,0.878
FKBP4,PGR,0.926
FKBP4,MAPT,0.447
FKBP4,NPB,0.414
FKBP4,FKBP5,0.97
FKBP4,ESR1,0.836
FKBP4,HSP90AB1,0.995
FKBP4,HSPA8,0.838
FKBP4,HSP90AA1,0.995
FKBP4,MTOR,0.934
FKBP4,PHLPP1,0.983
FKBP4,HSPA2,0.52
FKBP4,PTGES3,0.951
FKBP4,HSPA1A,0.538
FKBP4,AHSA1,0.74
FKBP4,HSPA4,0.986
FKBP4,MAP3K7,0.467
FKBP4,PPP5C,0.4
FKBP4,NR3C1,0.975
FKBP4,AR,0.86
FKBP4,USP19,0.435
FKBP4,STIP1,0.721
FKBP4,GLMN,0.787
FKBP4,IRF4,0.592
FKBP4,HSF1,0.716
FKBP4,NR3C2,0.891
CYP26B1,CYP26A1,0.9
NDUFAF7,NDUFB9,0.499
NDUFAF7,NDUFA5,0.499
NDUFAF7,NDUFS8,0.499
NDUFAF7,NDUFB5,0.499
NDUFAF7,NDUFA11,0.499
NDUFAF7,NDUFB10,0.499
NDUFAF7,NDUFS7,0.566
NDUFAF7,NDUFC2,0.499
NDUFAF7,NDUFB7,0.499
NDUFAF7,NDUFB3,0.499
NDUFAF7,NDUFAF4,0.499
NDUFAF7,NDUFC1,0.499
NDUFAF7,NDUFA8,0.499
NDUFAF7,NDUFAF3,0.499
NDUFAF7,NDUFB4,0.499
NDUFAF7,NDUFAF5,0.499
NDUFAF7,NDUFA10,0.644
NDUFAF7,NDUFS2,0.738
NDUFAF7,NDUFB11,0.499
NDUFAF7,NDUFA13,0.499
NDUFAF7,NDUFA3,0.499
NDUFAF7,USP48,0.457
NDUFAF7,NDUFB2,0.499
NDUFAF7,NDUFB1,0.499
NDUFAF7,NDUFB8,0.499
NDUFAF7,NDUFA6,0.499
NDUFAF7,NDUFAB1,0.499
NDUFAF7,NDUFA2,0.499
NDUFAF7,NDUFA1,0.499
NDUFAF7,NDUFAF6,0.499
NDUFAF7,NDUFS3,0.499
NDUFAF7,NDUFA7,0.499
NDUFAF7,TIMMDC1,0.499
NDUFAF7,NDUFA9,0.499
FUCA2,MEOX2,0.448
FUCA2,FAM20C,0.499
FUCA2,FUCA1,0.916
HS3ST1,BMP4,0.535
HS3ST1,B4GALT4,0.424
SEMA3F,PLXNA1,0.925
SEMA3F,PLXNA4,0.692
SEMA3F,NRP2,0.986
SEMA3F,PLXNA3,0.971
SEMA3F,SEMA3C,0.551
CYP51A1,FDFT1,0.415
CYP51A1,SIGMAR1,0.494
CYP51A1,ERG28,0.796
CYP51A1,PGRMC1,0.646
CYP51A1,LSS,0.496
USP28,KLHL2,0.434
USP28,KDM1A,0.457
USP28,TP53BP1,0.986
USP28,TP53,0.475
USP28,UBB,0.914
USP28,MYC,0.83
USP28,UBC,0.965
USP28,FBXW7,0.9
USP28,NUMA1,0.49
USP28,AURKA,0.444
USP28,USP8,0.455
USP28,RPS27A,0.913
USP28,UBA52,0.931
HSPB6,BAG3,0.805
HSPB6,SFN,0.9
HSPB6,HSPB8,0.639
HSPB6,YWHAG,0.739
HSPB6,HSPB1,0.832
PDK4,CNOT2,0.42
PDK4,CNOT3,0.42
PDK4,CNOT11,0.42
PDK4,PDK2,0.671
PDK4,UHMK1,0.449
PDK4,PDK1,0.585
PDK4,CNOT10,0.42
PDK4,PDK3,0.664
PDK4,PDHA1,0.457
RALA,FLNB,0.714
RALA,RALBP1,0.99
RALA,CALM1,0.728
RALA,MYO1C,0.535
RALA,HRAS,0.605
RALA,EXOC1,0.526
RALA,FLNA,0.881
RALA,EXOC3,0.592
RALA,EXOC7,0.672
RALA,EXOC2,0.999
RALA,EXOC8,0.999
RALA,PLCD1,0.734
RALA,MSLN,0.441
RALA,PLD1,0.653
RALA,EXOC4,0.835
RALA,CALML5,0.68
RALA,EXOC5,0.531
RALA,EXOC6,0.531
RALA,CALML3,0.68
RALA,RALB,0.925
RALA,RALGDS,0.663
BAIAP2L1,RAC2,0.55
BAIAP2L1,RAC3,0.55
BAIAP2L1,CSNK1G3,0.472
BAIAP2L1,AKT1,0.551
BAIAP2L1,RHOF,0.555
BAIAP2L1,BAIAP2,0.603
BAIAP2L1,CDC42,0.4
BAIAP2L1,ESPN,0.424
BAIAP2L1,BRD4,0.457
BAIAP2L1,EPS8,0.564
BAIAP2L1,RAC1,0.55
BAIAP2L1,WASL,0.866
TMEM132A,HSPA5,0.682
TMEM132A,FAM20C,0.499
DVL2,WNT4,0.499
DVL2,ATG16L1,0.457
DVL2,PRICKLE2,0.913
DVL2,FZD7,0.555
DVL2,AP2S1,0.563
DVL2,NOXA1,0.499
DVL2,SQSTM1,0.457
DVL2,CUL3,0.63
DVL2,PRICKLE1,0.935
DVL2,LRP6,0.96
DVL2,FCHO2,0.499
DVL2,VANGL2,0.957
DVL2,CCDC88C,0.68
DVL2,RAC3,0.52
DVL2,PFN1,0.499
DVL2,ITSN2,0.499
DVL2,AGTR1,0.4
DVL2,FRAT2,0.9
DVL2,GABARAPL1,0.562
DVL2,FZD5,0.774
DVL2,DAB2,0.454
DVL2,NXN,0.642
DVL2,AP2B1,0.563
DVL2,TRAF2,0.422
DVL2,AAK1,0.499
DVL2,SMURF2,0.659
DVL2,FZD3,0.545
DVL2,WWP2,0.457
DVL2,FOXK1,0.548
DVL2,RHOA,0.499
DVL2,ARRB2,0.943
DVL2,WNT5B,0.499
DVL2,AXIN1,0.999
DVL2,CSNK1E,0.912
DVL2,PLK1,0.872
DVL2,FRAT1,0.9
DVL2,OTULIN,0.508
DVL2,AP2M1,0.655
DVL2,CSNK2A2,0.901
DVL2,SGIP1,0.499
DVL2,VHL,0.664
DVL2,DAAM1,0.947
DVL2,RAC1,0.52
DVL2,WNT11,0.646
DVL2,ITCH,0.457
DVL2,INVS,0.902
DVL2,ZNRF3,0.457
DVL2,LRP5,0.539
DVL2,CLTA,0.499
DVL2,FCHO1,0.499
DVL2,CXXC4,0.499
DVL2,AP2A1,0.596
DVL2,DACT1,0.96
DVL2,AXIN2,0.93
DVL2,DAAM2,0.907
DVL2,PRICKLE4,0.913
DVL2,ITSN1,0.518
DVL2,APC2,0.9
DVL2,EPS15,0.563
DVL2,FZD1,0.545
DVL2,ARRB1,0.867
DVL2,DVL1,0.979
DVL2,TRIM29,0.804
DVL2,TACR1,0.4
DVL2,FZD6,0.707
DVL2,WWOX,0.717
DVL2,CSNK2A1,0.935
DVL2,WWTR1,0.926
DVL2,CSNK2B,0.912
DVL2,SMURF1,0.659
DVL2,REPS1,0.499
DVL2,FOXK2,0.487
DVL2,NECAP2,0.499
DVL2,WWP1,0.457
DVL2,NECAP1,0.499
DVL2,FZD2,0.671
DVL2,APC,0.94
DVL2,DVL3,0.982
DVL2,KLHL12,0.697
DVL2,AP2A2,0.563
DVL2,WNT5A,0.8
DVL2,VANGL1,0.973
DVL2,RAC2,0.52
DVL2,RBX1,0.499
DVL2,PARD6A,0.928
DVL2,CLTB,0.499
DVL2,PIP5K1B,0.499
DVL2,CLTC,0.499
DVL2,ADRB2,0.4
DVL2,FZD4,0.845
DVL2,RNF43,0.457
DVL2,LRRK2,0.457
DVL2,CYBA,0.499
DVL2,CSNK1D,0.825
DVL2,GSK3B,0.68
RPAP3,SUPT6H,0.428
RPAP3,PSMG1,0.54
RPAP3,ASB7,0.585
RPAP3,CCT6A,0.54
RPAP3,POLR3K,0.589
RPAP3,IKBKG,0.438
RPAP3,PPP1CC,0.548
RPAP3,CCT7,0.54
RPAP3,WDR83OS,0.54
RPAP3,PPP1R7,0.407
RPAP3,PPP1CA,0.548
RPAP3,SDF2L1,0.54
RPAP3,HSP90AB1,0.976
RPAP3,TELO2,0.457
RPAP3,WWP2,0.457
RPAP3,PFDN6,0.908
RPAP3,BAG3,0.54
RPAP3,CCT6B,0.54
RPAP3,TSC1,0.643
RPAP3,PRPF8,0.475
RPAP3,PTGES3,0.622
RPAP3,RUVBL2,0.999
RPAP3,HSPB8,0.54
RPAP3,STUB1,0.54
RPAP3,CCDC47,0.54
RPAP3,CCT2,0.54
RPAP3,STIP1,0.623
RPAP3,POLR3B,0.67
RPAP3,TCP1,0.54
RPAP3,GPN3,0.476
RPAP3,POLR3E,0.652
RPAP3,HSF1,0.54
RPAP3,PLA2G4A,0.41
RPAP3,SDF2,0.54
RPAP3,PIH1D1,0.999
RPAP3,SPAG1,0.54
RPAP3,POLR2L,0.614
RPAP3,EFTUD2,0.486
RPAP3,PFDN2,0.905
RPAP3,POLR2H,0.415
RPAP3,POLR2E,0.925
RPAP3,POLR1A,0.642
RPAP3,WDR92,0.964
RPAP3,DNAAF2,0.54
RPAP3,CCT8,0.54
RPAP3,CCT4,0.54
RPAP3,CCT5,0.608
RPAP3,POLR2F,0.607
RPAP3,RPAP2,0.457
RPAP3,RPRD1B,0.45
RPAP3,HSPA8,0.627
RPAP3,PSMG2,0.54
RPAP3,POLR3A,0.695
RPAP3,POLR1D,0.636
RPAP3,HSP90AA1,0.957
RPAP3,CCT3,0.54
RPAP3,POLR1C,0.649
RPAP3,UXT,0.939
RPAP3,RUVBL1,0.999
RPAP3,BAG2,0.54
RPAP3,TARBP2,0.9
RPAP3,HSPA4,0.539
RPAP3,PPP5C,0.54
RPAP3,POLR2J,0.536
RPAP3,CDC37,0.599
RPAP3,POLR3D,0.648
RPAP3,URI1,0.84
RPAP3,DNAJB11,0.54
RPAP3,DNAJC9,0.54
RPAP3,PDRG1,0.926
SKAP2,SIRPA,0.637
SKAP2,ITGA4,0.9
SKAP2,SRC,0.457
SKAP2,FYB1,0.846
SKAP2,ITGB1,0.9
SKAP2,FYN,0.457
SKAP2,NCK2,0.433
SKAP2,LYN,0.457
SKAP2,PTPN22,0.487
SKAP2,CD47,0.499
SKAP2,HCK,0.457
SKAP2,ITGA5,0.9
PRSS21,BST1,0.42
CX3CL1,CCR2,0.993
CX3CL1,CCR5,0.918
CX3CL1,CCR6,0.813
CX3CL1,GNG2,0.8
CX3CL1,CXCR1,0.984
CX3CL1,CCR7,0.741
CX3CL1,GNA11,0.8
CX3CL1,CCR1,0.764
CX3CL1,FLT3LG,0.717
CX3CL1,CXCR3,0.969
CX3CL1,CXCR6,0.895
CX3CL1,CXCR2,0.823
CX3CL1,CXCR4,0.99
CX3CL1,GNAI1,0.8
CX3CL1,GNB1,0.8
CX3CL1,CX3CR1,0.999
TRAPPC6A,TRAPPC6B,0.886
TRAPPC6A,TRAPPC12,0.931
TRAPPC6A,TRAPPC10,0.911
TRAPPC6A,TRAPPC2,0.999
TRAPPC6A,TRAPPC5,0.999
TRAPPC6A,MAP11,0.54
TRAPPC6A,TRAPPC4,0.999
TRAPPC6A,TRAPPC13,0.8
TRAPPC6A,TRAPPC11,0.858
TRAPPC6A,TRAPPC9,0.906
TRAPPC6A,TRAPPC8,0.98
TRAPPC6A,TRAPPC2L,0.963
TRAPPC6A,RAB3IP,0.42
TRAPPC6A,TRAPPC1,0.999
TRAPPC6A,TRAPPC3,0.999
WDR54,OSCP1,0.619
SPATA20,NDUFA10,0.416
RHBDD2,DERL1,0.54
RHBDD2,SYVN1,0.54
RHBDD2,MARCHF6,0.54
RHBDD2,DERL3,0.54
RHBDD2,AUP1,0.54
RHBDD2,ELOB,0.54
RHBDD2,SEL1L,0.54
RHBDD2,OS9,0.54
RHBDD2,ATG3,0.54
RHBDD2,USP33,0.54
RHBDD2,DERL2,0.54
RHBDD2,FAM8A1,0.54
OSBPL7,VAPA,0.495
OSBPL7,OSBPL6,0.482
OSBPL7,OSBPL3,0.435
YBX2,LARP7,0.416
YBX2,ZCRB1,0.448
YBX2,RPS2,0.478
YBX2,YBX1,0.42
CRY1,CSNK1E,0.956
CRY1,CRY2,0.983
CRY1,USP7,0.531
CRY1,PER3,0.647
CRY1,ARNTL,0.975
CRY1,CSNK1D,0.957
CRY1,BHLHE40,0.546
CRY1,PPP2R5D,0.42
CRY1,PPP2R1B,0.412
CRY1,BTRC,0.558
CRY1,SKP1,0.454
CRY1,FBXL3,0.996
CRY1,CUL1,0.457
CRY1,FOXO1,0.642
CRY1,QPRT,0.489
CRY1,NPAS2,0.697
CRY1,PER1,0.895
CRY1,CLOCK,0.965
CRY1,TIMELESS,0.963
CRY1,PER2,0.999
CRY1,CSNK2B,0.526
CRY1,BHLHE41,0.549
STARD3NL,VAPB,0.693
STARD3NL,STARD3,0.935
STARD3NL,VAPA,0.83
CD74,MRPL32,0.404
CD74,RPS11,0.638
CD74,MRPS12,0.403
CD74,HLA-DMA,0.937
CD74,RPS25,0.495
CD74,RPL36,0.497
CD74,NOL10,0.4
CD74,WDR31,0.451
CD74,B2M,0.54
CD74,CD44,0.997
CD74,AP1S2,0.499
CD74,FAU,0.749
CD74,WDR3,0.4
CD74,MRPL17,0.404
CD74,RPL15,0.497
CD74,RPL34,0.497
CD74,EIF5,0.403
CD74,ARF1,0.499
CD74,RPS9,0.495
CD74,RPS29,0.497
CD74,GUF1,0.409
CD74,DNM2,0.499
CD74,RPL13,0.497
CD74,EIF3B,0.454
CD74,SEC24A,0.499
CD74,RPS16,0.495
CD74,AP2A2,0.499
CD74,MRPL12,0.404
CD74,RPL28,0.497
CD74,EIF2S3,0.448
CD74,RPL18A,0.497
CD74,SNU13,0.4
CD74,RPS23,0.542
CD74,RPS3A,0.491
CD74,DNTTIP2,0.4
CD74,RPL21,0.497
CD74,RPS17,0.499
CD74,RPL30,0.497
CD74,NOL6,0.4
CD74,AP1M1,0.499
CD74,HLA-A,0.54
CD74,RPS8,0.495
CD74,RPL7A,0.495
CD74,RPS13,0.519
CD74,RPS20,0.497
CD74,CTSL,0.9
CD74,NOP14,0.4
CD74,EIF3D,0.452
CD74,KRR1,0.479
CD74,NGDN,0.4
CD74,MRPS9,0.457
CD74,RPS3,0.495
CD74,HLA-B,0.54
CD74,HLA-DOB,0.928
CD74,HLA-DQB1,0.935
CD74,LPAR3,0.487
CD74,MR1,0.54
CD74,NOP58,0.4
CD74,TUFM,0.404
CD74,DCAF13,0.4
CD74,AP2B1,0.499
CD74,MRPS5,0.409
CD74,EIF1,0.54
CD74,MRPL9,0.404
CD74,RPL37A,0.497
CD74,HLA-DQA1,0.955
CD74,WDR43,0.4
CD74,SEC24C,0.499
CD74,EEF2,0.499
CD74,HLA-DMB,0.903
CD74,RPL18,0.497
CD74,HLA-DOA,0.9
CD74,EIF3L,0.414
CD74,RPL27A,0.497
CD74,EIF3E,0.452
CD74,MRNIP,0.403
CD74,PPP1R26,0.403
CD74,AP1B1,0.499
CD74,MRPL19,0.404
CD74,SMKR1,0.403
CD74,NOP56,0.4
CD74,SEC23A,0.499
CD74,SEC24D,0.499
CD74,HLA-F,0.695
CD74,RPL9,0.497
CD74,OTUD3,0.409
CD74,AP2A1,0.499
CD74,CXCR2,0.986
CD74,COPG1,0.588
CD74,MRPL33,0.404
CD74,UTP20,0.4
CD74,RCL1,0.4
CD74,EIF3C,0.454
CD74,SEC13,0.499
CD74,UTP4,0.4
CD74,RPL23A,0.495
CD74,BMS1,0.461
CD74,RPL37,0.499
CD74,NAT10,0.4
CD74,EIF3I,0.442
CD74,PDCD11,0.478
CD74,EIF1B,0.461
CD74,DNM3,0.499
CD74,RPLP0,0.497
CD74,MRPL21,0.404
CD74,UTP6,0.4
CD74,MRPS35,0.417
CD74,HLA-DQB2,0.692
CD74,MRPS6,0.402
CD74,SAR1B,0.499
CD74,CANX,0.566
CD74,EIF3J,0.449
CD74,RPL14,0.497
CD74,BYSL,0.461
CD74,RPL29,0.499
CD74,RPL27,0.499
CD74,RPL31,0.495
CD74,MIF,0.996
CD74,AP1S3,0.499
CD74,HLA-DPA1,0.926
CD74,RPS27A,0.499
CD74,EIF2S1,0.508
CD74,RPS24,0.499
CD74,EIF3K,0.452
CD74,HLA-G,0.54
CD74,UTP3,0.4
CD74,HLA-DPB1,0.943
CD74,RPS19,0.497
CD74,RPL23,0.497
CD74,CLTC,0.499
CD74,CXCR4,0.987
CD74,RPS12,0.497
CD74,AP2S1,0.499
CD74,RPL24,0.569
CD74,RPS15,0.497
CD74,HLA-DRA,0.993
CD74,RPS7,0.523
CD74,RPL19,0.495
CD74,HLA-DRB1,0.971
CD74,RPS2,0.532
CD74,RPS26,0.525
CD74,UTP18,0.4
CD74,RPSA,0.599
CD74,EIF3A,0.458
CD74,MRPL36,0.404
CD74,RPL38,0.497
CD74,SEC24B,0.499
CD74,AATF,0.461
CD74,RPS28,0.499
CD74,MRPL20,0.404
CD74,MRRF,0.404
CD74,HEATR1,0.405
CD74,GCN1,0.4
CD74,RPL35A,0.497
CD74,MPHOSPH10,0.461
CD74,RPL8,0.497
CD74,HLA-C,0.54
CD74,RPS6,0.497
CD74,AP1M2,0.499
CD74,MRPS16,0.456
CD74,RPS21,0.499
CD74,SEC31A,0.499
CD74,NSA2,0.4
CD74,RPL35,0.497
CD74,NOC4L,0.408
CD74,RPL6,0.497
CD74,COPG2,0.711
CD74,HLA-E,0.54
CD74,MRPL27,0.404
CD74,RPL11,0.497
CD74,RPL32,0.499
CD74,AP1G1,0.499
CD74,AP2M1,0.499
CD74,RPL4,0.497
CD74,UBA52,0.499
CD74,CUL7,0.516
CD74,RPL12,0.497
CD74,AP1S1,0.499
CD74,RACK1,0.586
CD74,CLTA,0.499
CD74,RPS18,0.497
CD74,RPS5,0.499
CD74,MRPS2,0.403
CD74,DNM1,0.499
SYPL1,VAMP2,0.626
RANBP9,MAEA,0.619
RANBP9,GID8,0.927
RANBP9,GID4,0.843
RANBP9,AXL,0.845
RANBP9,RMND5A,0.758
RANBP9,RMND5B,0.576
RANBP9,YPEL5,0.662
RANBP9,TRAF6,0.483
RANBP9,ADAP1,0.436
RANBP9,TCEAL9,0.433
RANBP9,SFRP2,0.451
RANBP9,ARMC8,0.864
RANBP9,AR,0.457
RANBP9,RANBP10,0.734
RANBP9,NTRK2,0.554
RANBP9,DCTN1,0.575
RANBP9,TP53,0.465
RANBP9,EXOC2,0.457
RANBP9,L1CAM,0.92
RANBP9,DDX5,0.587
RANBP9,MET,0.557
RANBP9,RAF1,0.457
RANBP9,EFHC2,0.422
RANBP9,RAN,0.457
RANBP9,ZMYND19,0.422
RANBP9,WDR26,0.86
RANBP9,MKLN1,0.959
RANBP9,HIPK2,0.553
RANBP9,S100A7,0.536
RANBP9,HGF,0.4
RANBP9,SNRPF,0.42
RANBP9,SOS1,0.8
RANBP9,MPHOSPH8,0.476
RANBP9,HDAC6,0.457
CD4,CD82,0.946
CD4,PTK2,0.422
CD4,AP2B1,0.499
CD4,HLA-DQA1,0.911
CD4,LCK,0.999
CD4,IGLL5,0.8
CD4,HLA-DOB,0.9
CD4,HLA-DQB1,0.803
CD4,AP2S1,0.499
CD4,CCR5,0.999
CD4,HLA-DRA,0.989
CD4,TF,0.4
CD4,HLA-DRB1,0.96
CD4,TRAT1,0.9
CD4,TGOLN2,0.4
CD4,AP2A1,0.499
CD4,CD8A,0.9
CD4,VAMP4,0.4
CD4,TFRC,0.4
CD4,CD8B,0.904
CD4,HLA-DOA,0.9
CD4,CD81,0.955
CD4,AP2M1,0.499
CD4,LAT,0.499
CD4,PIP,0.853
CD4,HLA-DMB,0.9
CD4,PLAT,0.9
CD4,SYK,0.926
CD4,LCP2,0.499
CD4,HLA-DQB2,0.499
CD4,SCARB2,0.4
CD4,CD247,0.937
CD4,ZAP70,0.961
CD4,IL7R,0.4
CD4,ENO1,0.604
CD4,CD3D,0.927
CD4,CD3E,0.9
CD4,HLA-DMA,0.9
CD4,SLC2A8,0.4
CD4,CXCR4,0.989
CD4,ITK,0.499
CD4,IGF2R,0.413
CD4,HLA-DPB1,0.9
CD4,AP2A2,0.499
CD4,HLA-DPA1,0.9
CD4,CD3G,0.964
CD4,IL16,0.994
TSPAN9,TSPAN15,0.412
TSPAN9,CD9,0.684
QPCTL,CAMK1D,0.44
PPP5C,CHORDC1,0.504
PPP5C,HSF1,0.72
PPP5C,PLA2G4A,0.612
PPP5C,PDRG1,0.54
PPP5C,TCP1,0.9
PPP5C,STIP1,0.939
PPP5C,PSPC1,0.48
PPP5C,DNAJB11,0.722
PPP5C,DNAJC9,0.9
PPP5C,BRAF,0.749
PPP5C,CCT2,0.9
PPP5C,CCDC47,0.54
PPP5C,URI1,0.54
PPP5C,HSPA4,0.707
PPP5C,STUB1,0.54
PPP5C,CDC37,0.981
PPP5C,UXT,0.54
PPP5C,BAG2,0.599
PPP5C,RUVBL1,0.54
PPP5C,HSPB8,0.72
PPP5C,TSC1,0.942
PPP5C,TATDN1,0.42
PPP5C,HSP90B1,0.443
PPP5C,PTGES3,0.959
PPP5C,RUVBL2,0.54
PPP5C,BAG3,0.72
PPP5C,CCT6B,0.9
PPP5C,CDC37L1,0.613
PPP5C,HSP90AA1,0.984
PPP5C,CCT3,0.9
PPP5C,TRAP1,0.451
PPP5C,PFDN6,0.54
PPP5C,CCT5,0.9
PPP5C,WDR83OS,0.54
PPP5C,HSP90AB1,0.987
PPP5C,SDF2L1,0.72
PPP5C,HSPA8,0.631
PPP5C,ESR1,0.649
PPP5C,BPHL,0.424
PPP5C,PSMG2,0.9
PPP5C,FKBP5,0.498
PPP5C,CCT8,0.9
PPP5C,CCT4,0.913
PPP5C,CRY2,0.457
PPP5C,MAPT,0.457
PPP5C,DNAAF2,0.54
PPP5C,AGO1,0.566
PPP5C,CCT7,0.9
PPP5C,PPID,0.4
PPP5C,PSMG1,0.9
PPP5C,CCT6A,0.9
PPP5C,PFDN2,0.54
PPP5C,SDF2,0.72
PPP5C,SPAG1,0.54
UBR7,UBE2E1,0.457
UBR7,H3C1,0.457
UBR7,THOC5,0.424
MAP4K5,EIF1AD,0.42
MAP4K5,GRB2,0.784
MAP4K5,CRK,0.739
MAP4K5,MAP4K3,0.457
MAP4K5,CRKL,0.669
ERCC1,EME2,0.499
ERCC1,KDM1A,0.9
ERCC1,ERCC4,0.999
ERCC1,TP53BP1,0.552
ERCC1,SWSAP1,0.9
ERCC1,CDK7,0.456
ERCC1,MSH3,0.72
ERCC1,GTF2H3,0.66
ERCC1,MUS81,0.978
ERCC1,FANCE,0.499
ERCC1,FANCG,0.63
ERCC1,BIVM-ERCC5,0.961
ERCC1,XRCC5,0.913
ERCC1,CHD1L,0.499
ERCC1,SLX1B,0.617
ERCC1,DCLRE1B,0.499
ERCC1,PALB2,0.54
ERCC1,MDC1,0.439
ERCC1,GTF2H2,0.698
ERCC1,CDC7,0.456
ERCC1,FAN1,0.499
ERCC1,EME1,0.499
ERCC1,FAAP24,0.499
ERCC1,UBB,0.499
ERCC1,BRCA2,0.632
ERCC1,ASCC3,0.54
ERCC1,XRCC4,0.9
ERCC1,DDB1,0.517
ERCC1,MLH1,0.54
ERCC1,CENPX,0.499
ERCC1,RAD52,0.721
ERCC1,RCOR1,0.9
ERCC1,FANCC,0.647
ERCC1,RAD23B,0.957
ERCC1,FANCL,0.529
ERCC1,GTF2H5,0.499
ERCC1,PAXX,0.9
ERCC1,ATM,0.9
ERCC1,FAAP20,0.499
ERCC1,BRCA1,0.73
ERCC1,XRCC6,0.9
ERCC1,ASCC1,0.54
ERCC1,XPC,0.948
ERCC1,PMS1,0.54
ERCC1,CENPS,0.499
ERCC1,VPS37B,0.485
ERCC1,PARP1,0.537
ERCC1,RPA2,0.646
ERCC1,ATP23,0.9
ERCC1,PMS2,0.54
ERCC1,UBL7,0.621
ERCC1,UBC,0.499
ERCC1,FAAP100,0.547
ERCC1,FANCI,0.54
ERCC1,MSH2,0.926
ERCC1,FANCF,0.501
ERCC1,PHF21A,0.921
ERCC1,DCLRE1A,0.499
ERCC1,ERCC8,0.94
ERCC1,PRKDC,0.9
ERCC1,MLH3,0.54
ERCC1,DCLRE1C,0.9
ERCC1,FANCM,0.771
ERCC1,ZSWIM7,0.9
ERCC1,MSH6,0.9
ERCC1,POLD1,0.9
ERCC1,CUL4A,0.499
ERCC1,SLX4IP,0.457
ERCC1,DDB2,0.499
ERCC1,ASCC2,0.54
ERCC1,USP45,0.457
ERCC1,FANCD2,0.633
ERCC1,PARP2,0.499
ERCC1,RPS27A,0.499
ERCC1,CUL4B,0.499
ERCC1,GTF2H1,0.63
ERCC1,UBA52,0.499
ERCC1,FANCA,0.634
ERCC1,RBX1,0.499
ERCC1,CETN2,0.924
ERCC1,RPA1,0.646
ERCC1,GTF2H4,0.499
ERCC1,XPA,0.998
ERCC1,ERCC2,0.821
ERCC1,RPA3,0.646
ERCC1,LIG4,0.9
ERCC1,ERCC3,0.886
GPRC5A,HSPA9,0.416
GPRC5A,ACTR2,0.422
GPRC5A,EIF4A1,0.441
HEBP1,ANXA1,0.4
HEBP1,COTL1,0.42
HEBP1,FPR3,0.708
COX15,SFXN4,0.422
COX15,C15orf48,0.54
COX15,COA3,0.421
COX15,UQCR10,0.54
COX15,COX3,0.944
COX15,TIMM50,0.422
COX15,NDUFA4,0.729
COX15,NDUFS8,0.42
COX15,COX2,0.947
COX15,NDUFA4L2,0.54
COX15,UQCRC1,0.56
COX15,TMEM65,0.422
COX15,NDUFA12,0.597
COX15,UQCRQ,0.54
COX15,COX5B,0.54
COX15,CLN3,0.541
COX15,COX8A,0.54
