ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
223796_at	1.11e-15	2.21e-18	-1.52e+01	31.757765	-3.5922942	CNTNAP3B///CNTNAP3P2///CNTNAP3	contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3	728577///643827///79937
238701_x_at	1.11e-15	2.22e-18	-1.52e+01	31.75295	-2.6657132	COLCA1	colorectal cancer associated 1	399948
1570255_s_at	1.11e-15	2.27e-18	-1.52e+01	31.729442	-4.248079	ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1	ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1	100874392///729171///728747///441430///441425///440482///84210
1554482_a_at	1.11e-15	2.30e-18	1.52e+01	31.717326	3.1650742	SAR1B	secretion associated Ras related GTPase 1B	51128
232078_at	1.13e-15	2.38e-18	1.52e+01	31.683532	4.8215453	NECTIN2	nectin cell adhesion molecule 2	5819
205895_s_at	1.21e-15	2.58e-18	1.52e+01	31.604374	3.5172224	NOLC1	nucleolar and coiled-body phosphoprotein 1	9221
212464_s_at	1.33e-15	2.90e-18	1.51e+01	31.491235	3.7702613	FN1	fibronectin 1	2335
214063_s_at	1.36e-15	3.01e-18	-1.51e+01	31.453006	-5.1695962	TF	transferrin	7018
212353_at	1.43e-15	3.20e-18	1.51e+01	31.393242	4.6576263	SULF1	sulfatase 1	23213
240988_x_at	1.45e-15	3.31e-18	-1.51e+01	31.360546	-2.8616363			
243338_at	1.56e-15	3.60e-18	1.50e+01	31.278901	3.8766293	CSNK1A1	casein kinase 1 alpha 1	1452
222507_s_at	1.85e-15	4.35e-18	1.49e+01	31.092279	4.7942429	TMEM9B	TMEM9 domain family member B	56674
1554747_a_at	1.96e-15	4.65e-18	1.49e+01	31.025977	4.8011457	SEPT2	septin 2	4735
201309_x_at	2.02e-15	4.86e-18	1.49e+01	30.982399	4.7358427	NREP	neuronal regeneration related protein	9315
212008_at	2.04e-15	4.98e-18	1.49e+01	30.957655	5.0537794	UBXN4	UBX domain protein 4	23190
1555948_s_at	2.05e-15	5.08e-18	1.49e+01	30.938627	3.4608364	FAM120A	family with sequence similarity 120A	23196
226524_at	2.11e-15	5.36e-18	1.48e+01	30.885419	3.16563	C3orf38	chromosome 3 open reading frame 38	285237
233208_x_at	2.11e-15	5.38e-18	1.48e+01	30.882914	2.4728981	CPSF2	cleavage and polyadenylation specific factor 2	53981
217799_x_at	2.14e-15	5.52e-18	1.48e+01	30.856917	4.1553588	UBE2H	ubiquitin conjugating enzyme E2 H	7328
244655_at	2.47e-15	6.47e-18	-1.48e+01	30.700261	-3.5994864	LOC100507311	uncharacterized LOC100507311	100507311
212472_at	2.47e-15	6.53e-18	1.48e+01	30.690782	4.3837304	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	9645
216442_x_at	2.82e-15	7.55e-18	1.47e+01	30.547943	3.6739198	FN1	fibronectin 1	2335
200086_s_at	3.15e-15	8.54e-18	-1.46e+01	30.426405	-1.2605495	COX4I1	cytochrome c oxidase subunit 4I1	1327
233878_s_at	3.22e-15	8.83e-18	1.46e+01	30.393439	3.7432278	XRN2	5'-3' exoribonuclease 2	22803
203435_s_at	3.25e-15	9.03e-18	-1.46e+01	30.371805	-3.8043347	MME	membrane metallo-endopeptidase	4311
202311_s_at	3.33e-15	9.37e-18	1.46e+01	30.335346	5.4526407	COL1A1	collagen type I alpha 1 chain	1277
213486_at	3.38e-15	9.63e-18	-1.46e+01	30.308675	-4.3007307	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)	53844
202955_s_at	3.99e-15	1.15e-17	1.45e+01	30.134849	3.4562614	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	10565
210511_s_at	4.31e-15	1.25e-17	1.45e+01	30.047355	6.1217064	INHBA	inhibin beta A subunit	3624
214845_s_at	4.38e-15	1.29e-17	1.45e+01	30.019213	4.3000416	CALU	calumenin	813
222473_s_at	4.57e-15	1.36e-17	1.44e+01	29.965856	2.7821013	ERBIN	erbb2 interacting protein	55914
1569106_s_at	4.83e-15	1.45e-17	1.44e+01	29.901425	4.0763754	SETD5	SET domain containing 5	55209
221009_s_at	5.43e-15	1.65e-17	-1.44e+01	29.774393	-4.1275305	ANGPTL4	angiopoietin like 4	51129
208952_s_at	5.43e-15	1.67e-17	1.44e+01	29.764015	3.5556023	LARP4B	La ribonucleoprotein domain family member 4B	23185
229839_at	6.00e-15	1.87e-17	-1.43e+01	29.654185	-6.6945669	SCARA5	scavenger receptor class A member 5	286133
213292_s_at	6.00e-15	1.89e-17	1.43e+01	29.645041	2.4112311	SNX13	sorting nexin 13	23161
218640_s_at	6.00e-15	1.91e-17	1.43e+01	29.634291	3.1246929	PLEKHF2	pleckstrin homology and FYVE domain containing 2	79666
222442_s_at	6.08e-15	1.95e-17	1.43e+01	29.610772	2.9900552	ARL8B	ADP ribosylation factor like GTPase 8B	55207
217791_s_at	6.34e-15	2.06e-17	1.43e+01	29.559056	3.2863974	ALDH18A1	aldehyde dehydrogenase 18 family member A1	5832
212960_at	8.41e-15	2.76e-17	1.42e+01	29.270433	4.3851537	TBC1D9	TBC1 domain family member 9	23158
211719_x_at	8.47e-15	2.81e-17	1.41e+01	29.25271	3.4629576	FN1	fibronectin 1	2335
212623_at	8.59e-15	2.88e-17	1.41e+01	29.228972	4.035599	TMEM41B	transmembrane protein 41B	440026
232079_s_at	8.98e-15	3.03e-17	1.41e+01	29.175951	4.1005783	NECTIN2	nectin cell adhesion molecule 2	5819
204134_at	9.10e-15	3.11e-17	-1.41e+01	29.152597	-2.9603329	PDE2A	phosphodiesterase 2A	5138
219015_s_at	9.26e-15	3.19e-17	1.41e+01	29.125981	3.3664424	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	79868
203952_at	9.73e-15	3.39e-17	1.41e+01	29.066942	1.6078405	ATF6	activating transcription factor 6	22926
233303_at	9.99e-15	3.51e-17	1.41e+01	29.032212	3.7788773			
222976_s_at	1.02e-14	3.61e-17	1.40e+01	29.003426	1.8804197	TPM3	tropomyosin 3	7170
236038_at	1.07e-14	3.85e-17	-1.40e+01	28.941412	-3.9352383	RNF150	ring finger protein 150	57484
230906_at	1.08e-14	3.90e-17	1.40e+01	28.92928	4.3009248	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	55568
211098_x_at	1.08e-14	3.94e-17	1.40e+01	28.917941	2.217907	TMCO1	transmembrane and coiled-coil domains 1	54499
237737_at	1.09e-14	4.01e-17	-1.40e+01	28.901711	-3.4985786	LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P	putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene	101927345///101060632///101059949///100874392
225400_at	1.10e-14	4.07e-17	1.40e+01	28.884901	3.3842594	TSEN15	tRNA splicing endonuclease subunit 15	116461
230790_x_at	1.11e-14	4.17e-17	-1.40e+01	28.861891	-2.8103477	FOXN3	forkhead box N3	1112
236223_s_at	1.11e-14	4.18e-17	1.40e+01	28.8595	2.5824639	RIT1	Ras like without CAAX 1	6016
200776_s_at	1.15e-14	4.39e-17	1.40e+01	28.810762	3.0240036	BZW1	basic leucine zipper and W2 domains 1	9689
212514_x_at	1.17e-14	4.53e-17	1.39e+01	28.781025	2.887797	DDX3X	DEAD-box helicase 3, X-linked	1654
200900_s_at	1.17e-14	4.55e-17	1.39e+01	28.775553	4.0352439	M6PR	mannose-6-phosphate receptor, cation dependent	4074
236856_x_at	1.27e-14	4.97e-17	-1.39e+01	28.689232	-3.222493			
217919_s_at	1.30e-14	5.15e-17	1.39e+01	28.653035	3.8095278	MRPL42	mitochondrial ribosomal protein L42	28977
212595_s_at	1.33e-14	5.30e-17	1.39e+01	28.624956	4.7741673	DAZAP2	DAZ associated protein 2	9802
227984_at	1.35e-14	5.42e-17	-1.39e+01	28.602272	-3.8917197	LMF1	lipase maturation factor 1	64788
218302_at	1.37e-14	5.55e-17	1.39e+01	28.579003	4.5070511	PSENEN	presenilin enhancer gamma-secretase subunit	55851
32502_at	1.40e-14	5.73e-17	-1.39e+01	28.548095	-3.0846108	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	81544
206742_at	1.45e-14	5.95e-17	-1.38e+01	28.510456	-4.9367513	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor	100532742///2277
220926_s_at	1.60e-14	6.62e-17	1.38e+01	28.404863	2.3475935	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	80267
219787_s_at	1.73e-14	7.24e-17	1.38e+01	28.316746	2.9508127	ECT2	epithelial cell transforming 2	1894
229802_at	1.73e-14	7.32e-17	1.38e+01	28.306666	6.2481215	WISP1	WNT1 inducible signaling pathway protein 1	8840
224725_at	1.76e-14	7.49e-17	1.37e+01	28.282773	1.901989	MIB1	mindbomb E3 ubiquitin protein ligase 1	57534
32625_at	1.89e-14	8.13e-17	-1.37e+01	28.202143	-4.2892692	NPR1	natriuretic peptide receptor 1	4881
214007_s_at	1.89e-14	8.16e-17	1.37e+01	28.198985	3.7329001	TWF1	twinfilin actin binding protein 1	5756
225716_at	2.13e-14	9.30e-17	1.37e+01	28.069038	2.2925611	BRI3BP	BRI3 binding protein	140707
201912_s_at	2.13e-14	9.33e-17	1.37e+01	28.066411	3.2515318	GSPT1	G1 to S phase transition 1	2935
218866_s_at	2.13e-14	9.41e-17	1.36e+01	28.058085	4.0095622	POLR3K	RNA polymerase III subunit K	51728
201169_s_at	2.21e-14	9.86e-17	1.36e+01	28.011701	5.5840406	BHLHE40	basic helix-loop-helix family member e40	8553
205507_at	2.21e-14	9.90e-17	-1.36e+01	28.008087	-2.3555281	ARHGEF15	Rho guanine nucleotide exchange factor 15	22899
205030_at	2.38e-14	1.08e-16	-1.36e+01	27.924074	-4.4709768	FABP7	fatty acid binding protein 7	2173
1554441_a_at	2.47e-14	1.13e-16	1.36e+01	27.880338	3.328155	WAPL	WAPL cohesin release factor	23063
209526_s_at	2.50e-14	1.15e-16	1.36e+01	27.862294	3.5867001	HDGFRP3	hepatoma-derived growth factor, related protein 3	50810
211559_s_at	2.68e-14	1.24e-16	1.35e+01	27.7874	5.5290468	CCNG2	cyclin G2	901
217188_s_at	2.70e-14	1.26e-16	1.35e+01	27.771038	3.8792813	C14orf1	chromosome 14 open reading frame 1	11161
227260_at	2.92e-14	1.37e-16	1.35e+01	27.687204	5.9000541			
207549_x_at	3.09e-14	1.46e-16	1.35e+01	27.624893	4.9517234	CD46	CD46 molecule	4179
203878_s_at	3.35e-14	1.59e-16	1.34e+01	27.537922	6.2232727	MMP11	matrix metallopeptidase 11	4320
207172_s_at	3.37e-14	1.61e-16	1.34e+01	27.524909	5.5791427	CDH11	cadherin 11	1009
237086_at	3.50e-14	1.70e-16	1.34e+01	27.474559	5.9958704	FOXA1	forkhead box A1	3169
224642_at	3.50e-14	1.71e-16	1.34e+01	27.467795	3.735476	FYTTD1	forty-two-three domain containing 1	84248
213260_at	3.50e-14	1.71e-16	-1.34e+01	27.46543	-2.7171564	FOXC1	forkhead box C1	2296
231879_at	3.74e-14	1.84e-16	1.34e+01	27.393948	6.6263451	COL12A1	collagen type XII alpha 1 chain	1303
222587_s_at	3.88e-14	1.92e-16	1.34e+01	27.350984	5.1432757	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	51809
208867_s_at	3.95e-14	1.97e-16	1.33e+01	27.327629	4.2143352	CSNK1A1	casein kinase 1 alpha 1	1452
210904_s_at	3.99e-14	2.01e-16	1.33e+01	27.309094	4.4757336	IL13RA1	interleukin 13 receptor subunit alpha 1	3597
244612_at	4.40e-14	2.24e-16	-1.33e+01	27.201278	-2.9027493			
216304_x_at	4.40e-14	2.24e-16	1.33e+01	27.199544	1.3577294	YME1L1	YME1 like 1 ATPase	10730
222496_s_at	4.48e-14	2.31e-16	1.33e+01	27.169725	3.722441	RBM47	RNA binding motif protein 47	54502
213872_at	4.48e-14	2.31e-16	1.33e+01	27.169414	6.9965017			
237040_at	4.72e-14	2.45e-16	-1.33e+01	27.111113	-2.0937847	CWF19L2	CWF19-like 2, cell cycle control (S. pombe)	143884
217428_s_at	4.92e-14	2.57e-16	1.32e+01	27.064217	7.3749788	COL10A1	collagen type X alpha 1 chain	1300
218342_s_at	4.92e-14	2.59e-16	1.32e+01	27.057785	3.6761893	ERMP1	endoplasmic reticulum metallopeptidase 1	79956
200751_s_at	4.96e-14	2.62e-16	1.32e+01	27.043818	3.3337232	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	3183
209882_at	5.14e-14	2.73e-16	1.32e+01	27.002305	3.0475598	RIT1	Ras like without CAAX 1	6016
242731_x_at	5.29e-14	2.83e-16	-1.32e+01	26.966766	-1.2860287	BMPR1A	bone morphogenetic protein receptor type 1A	657
227335_at	5.39e-14	2.91e-16	1.32e+01	26.94004	2.1717324	DIDO1	death inducer-obliterator 1	11083
210337_s_at	5.39e-14	2.92e-16	1.32e+01	26.936019	4.1233521	ACLY	ATP citrate lyase	47
225734_at	5.54e-14	3.02e-16	1.32e+01	26.903847	1.8104435	FBXO22	F-box protein 22	26263
206075_s_at	5.68e-14	3.14e-16	1.32e+01	26.86596	3.7612139	CSNK2A1	casein kinase 2 alpha 1	1457
203417_at	5.68e-14	3.15e-16	1.32e+01	26.861411	4.8091598	MFAP2	microfibrillar associated protein 2	4237
201879_at	5.68e-14	3.15e-16	1.32e+01	26.861242	3.5849506	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	25820
202143_s_at	5.78e-14	3.24e-16	1.31e+01	26.833664	4.2077164	COPS8	COP9 signalosome subunit 8	10920
200890_s_at	5.78e-14	3.25e-16	1.31e+01	26.831447	2.5453586	SSR1	signal sequence receptor subunit 1	6745
201920_at	5.84e-14	3.32e-16	1.31e+01	26.810946	2.3071538	SLC20A1	solute carrier family 20 member 1	6574
220775_s_at	5.84e-14	3.32e-16	1.31e+01	26.809889	2.2655344	UEVLD	UEV and lactate/malate dehyrogenase domains	55293
224829_at	6.08e-14	3.49e-16	1.31e+01	26.761201	4.4775798	CPEB4	cytoplasmic polyadenylation element binding protein 4	80315
216591_s_at	6.08e-14	3.50e-16	1.31e+01	26.757276	4.1155745	SDHC	succinate dehydrogenase complex subunit C	6391
1554433_a_at	6.32e-14	3.66e-16	1.31e+01	26.71329	3.8830046	ZNF146	zinc finger protein 146	7705
1553613_s_at	6.41e-14	3.74e-16	-1.31e+01	26.693584	-4.2038927	FOXC1	forkhead box C1	2296
1555736_a_at	6.47e-14	3.79e-16	1.31e+01	26.678795	3.7994727	AGTRAP	angiotensin II receptor associated protein	57085
201585_s_at	6.50e-14	3.83e-16	1.31e+01	26.669449	2.1601059	SFPQ	splicing factor proline and glutamine rich	6421
200698_at	6.90e-14	4.09e-16	1.31e+01	26.603829	2.2551579	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	11014
203108_at	6.99e-14	4.17e-16	1.30e+01	26.585536	5.1747918	GPRC5A	G protein-coupled receptor class C group 5 member A	9052
823_at	7.47e-14	4.48e-16	-1.30e+01	26.514539	-4.331059	CX3CL1	C-X3-C motif chemokine ligand 1	6376
235103_at	7.58e-14	4.57e-16	1.30e+01	26.493813	3.9817987	MAN2A1	mannosidase alpha class 2A member 1	4124
201096_s_at	8.41e-14	5.10e-16	1.30e+01	26.385834	3.7140612	ARF4	ADP ribosylation factor 4	378
204460_s_at	8.43e-14	5.14e-16	1.30e+01	26.37827	2.9537699	RAD1	RAD1 checkpoint DNA exonuclease	5810
222981_s_at	8.47e-14	5.19e-16	1.30e+01	26.368187	2.5561925	RAB10	RAB10, member RAS oncogene family	10890
217763_s_at	8.71e-14	5.36e-16	1.29e+01	26.335532	3.6030255	RAB31	RAB31, member RAS oncogene family	11031
211090_s_at	9.23e-14	5.72e-16	1.29e+01	26.272234	4.5662425	PRPF4B	pre-mRNA processing factor 4B	8899
236010_at	9.31e-14	5.80e-16	-1.29e+01	26.258332	-3.1803165			
1560342_at	9.39e-14	5.88e-16	1.29e+01	26.244022	3.4736285			
238062_at	9.51e-14	5.98e-16	-1.29e+01	26.226994	-4.3551071	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	338328
218324_s_at	9.55e-14	6.07e-16	1.29e+01	26.212621	2.6990518	SPATS2	spermatogenesis associated serine rich 2	65244
224917_at	9.55e-14	6.08e-16	1.29e+01	26.211695	4.8646409	MIR21///VMP1	microRNA 21///vacuole membrane protein 1	406991///81671
203553_s_at	9.74e-14	6.23e-16	1.29e+01	26.187642	3.3103907	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	11183
225237_s_at	9.92e-14	6.37e-16	1.29e+01	26.164322	4.4806742	MSI2	musashi RNA binding protein 2	124540
228851_s_at	1.00e-13	6.47e-16	1.29e+01	26.149817	3.5359686	ENSA	endosulfine alpha	2029
205140_at	1.03e-13	6.69e-16	1.29e+01	26.116853	2.2244594	FPGT	fucose-1-phosphate guanylyltransferase	8790
207782_s_at	1.03e-13	6.70e-16	1.29e+01	26.115301	3.8937706	PSEN1	presenilin 1	5663
202698_x_at	1.03e-13	6.76e-16	-1.29e+01	26.105387	-1.1176172	COX4I1	cytochrome c oxidase subunit 4I1	1327
216266_s_at	1.05e-13	6.90e-16	1.29e+01	26.084987	4.3572842	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	10565
201742_x_at	1.06e-13	7.01e-16	1.28e+01	26.069498	5.0457417	SRSF1	serine and arginine rich splicing factor 1	6426
218209_s_at	1.08e-13	7.21e-16	1.28e+01	26.042678	3.2834836	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	55197
202654_x_at	1.11e-13	7.46e-16	1.28e+01	26.008353	3.3550054	MARCH7	membrane associated ring-CH-type finger 7	64844
1554260_a_at	1.19e-13	8.00e-16	1.28e+01	25.939597	3.1670033	FRYL	FRY like transcription coactivator	285527
203687_at	1.19e-13	8.08e-16	-1.28e+01	25.92947	-3.5753134	CX3CL1	C-X3-C motif chemokine ligand 1	6376
1564494_s_at	1.20e-13	8.13e-16	1.28e+01	25.922566	5.5041035	P4HB	prolyl 4-hydroxylase subunit beta	5034
212354_at	1.22e-13	8.30e-16	1.28e+01	25.902418	3.4002684	SULF1	sulfatase 1	23213
204427_s_at	1.25e-13	8.59e-16	1.28e+01	25.868524	5.1973411	TMED2	transmembrane p24 trafficking protein 2	10959
212446_s_at	1.25e-13	8.62e-16	1.28e+01	25.865694	2.4747137	CERS6	ceramide synthase 6	253782
201476_s_at	1.31e-13	9.07e-16	1.27e+01	25.814485	3.2024259	RRM1	ribonucleotide reductase catalytic subunit M1	6240
217986_s_at	1.32e-13	9.23e-16	1.27e+01	25.797587	2.4534059	BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177
235333_at	1.32e-13	9.26e-16	-1.27e+01	25.794538	-1.9258949	B4GALT6	beta-1,4-galactosyltransferase 6	9331
227801_at	1.35e-13	9.51e-16	1.27e+01	25.768169	3.4564371	TRIM59	tripartite motif containing 59	286827
208750_s_at	1.35e-13	9.52e-16	1.27e+01	25.766264	5.601662	MIR3620///ARF1	microRNA 3620///ADP ribosylation factor 1	100500810///375
244112_x_at	1.37e-13	9.73e-16	-1.27e+01	25.74553	-2.7207065			
215695_s_at	1.37e-13	9.76e-16	-1.27e+01	25.741553	-5.1833272	GYG2	glycogenin 2	8908
209342_s_at	1.41e-13	1.01e-15	1.27e+01	25.708214	2.3841119	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	3551
203194_s_at	1.42e-13	1.03e-15	1.27e+01	25.691266	2.7705268	NUP98	nucleoporin 98	4928
222399_s_at	1.42e-13	1.04e-15	1.27e+01	25.683747	3.2341066	TM9SF3	transmembrane 9 superfamily member 3	56889
218013_x_at	1.42e-13	1.04e-15	1.27e+01	25.682797	3.7794508	DCTN4	dynactin subunit 4	51164
222466_s_at	1.42e-13	1.04e-15	1.27e+01	25.681644	2.6114178	MRPL42	mitochondrial ribosomal protein L42	28977
243416_at	1.42e-13	1.04e-15	-1.27e+01	25.676046	-2.3702592			
