Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
10051,SMC4,5.5842,9.92611e-05,0.0462414
4860,PNP,4.97087,1.11054e-07,0.0158742
8508,NIPSNAP1,2.75577,2.86136e-05,
7805,LAPTM5,3.14242,2.52152e-06,0.0964245
10797,MTHFD2,2.61916,1.09781e-09,0.115108
51582,AZIN1,2.67886,1.22359e-05,0.0309354
3852,KRT5,-5.06162,1.24184e-11,0.128437
10440,TIMM17A,2.99479,4.68717e-09,0.0882269
9604,RNF14,2.48457,4.73338e-07,0.00665244
51097,SCCPDH,3.14302,2.20183e-06,0.00387221
3315,HSPB1,2.42712,1.18052e-06,0.11211
6241,RRM2,5.42323,4.20325e-05,0.138103
2935,GSPT1,3.48559,4.18776e-08,0.0132998
6574,SLC20A1,2.42763,1.5297e-14,0.0885875
523,ATP6V1A,5.00018,3.34958e-05,0.0223508
1956,EGFR,-3.11651,3.37929e-07,0.748234
6422,SFRP1,-7.28644,1.65379e-07,0.125747
6611,SMS,2.73773,0.000374675,0.0332735
7450,VWF,-2.67244,1.39012e-13,0.102132
9870,AREL1,2.57991,1.42183e-08,
8780,RIOK3,2.59085,1.90492e-06,0.00587221
1477,CSTF1,2.4883,5.39258e-05,0.0175242
7102,TSPAN7,-2.44111,0.000169449,0.043861
?,ACTG2,-3.63326,5.95736e-08,0.0585449
11333,PDAP1,2.35891,5.16822e-06,0.0804455
23321,TRIM2,-2.43065,2.64472e-12,0.0845287
4147,LOC100506558,-3.32681,2.0192e-10,
5718,PSMD12,2.55563,0.000544876,0.0321767
9871,SEC24D,2.46216,0.000177725,0.0668815
26121,PRPF31,2.76059,5.7236e-06,0.0266182
11098,PRSS23,2.50872,0.000253865,0.0820303
94239,H2AFV,2.7569,1.04144e-05,
9768,KIAA0101,6.24323,0.000228085,
23650,TRIM29,-3.97146,6.75095e-13,0.0931645
3156,HMGCR,2.62779,1.88964e-08,0.331136
2764,GMFB,4.67986,1.61621e-05,0.00624446
5580,PRKCD,2.58517,4.99805e-07,0.088073
4638,MYLK,-2.91716,3.17569e-15,0.0638445
1382,CRABP2,2.69998,2.67821e-05,0.0991946
51573,GDE1,3.64473,3.28735e-06,
1503,CTPS1,2.90664,4.86573e-07,0.109077
7922,SLC39A7,2.54863,1.1408e-06,0.0832455
11051,NUDT21,2.43029,2.80316e-05,0.105385
9133,CCNB2,4.32065,0.000593994,0.102761
2673,GFPT1,3.05832,9.07693e-05,0.102054
8974,LOC101927705,2.30482,2.13706e-05,
25804,LSM4,3.36866,2.1623e-05,0.0565789
9452,ITM2A,-2.91104,2.51408e-16,0.104186
27338,UBE2S,4.39686,4.46833e-05,0.0812579
1366,CLDN7,2.58308,7.93721e-06,0.111395
3251,HPRT1,2.6358,0.000478546,0.0872889
528,ATP6V1C1,3.11028,0.000147018,0.085605
6428,SRSF3,2.35114,2.7129e-08,0.389414
287,ANK2,-2.47225,7.44097e-06,0.0183853
11065,UBE2C,5.95064,0.00023837,0.122702
10565,ARFGEF1,3.58616,0.000113425,0.019486
827,CAPN6,-4.73886,1.61569e-05,0.0464578
10434,LYPLA1,3.64412,5.23122e-05,0.0127452
6776,STAT5A,-2.77521,8.29416e-16,0.116692
2271,FH,2.37907,0.000670397,0.451908
8914,TIMELESS,2.76433,8.0571e-07,0.110689
857,CAV1,-3.44918,0.000277875,0.125377
653145,ANXA8,-2.92293,9.57056e-11,0.0375
7040,TGFB1,2.58138,6.11164e-06,0.143847
9052,GPRC5A,6.49709,0.000744897,0.0977698
4928,NUP98,2.47461,8.00958e-07,0.523857
9650,MTFR1,3.66815,0.000612269,0.0369034
983,CDK1,4.38573,2.22277e-06,0.131965
5050,PAFAH1B3,2.57843,4.7358e-07,0.02199
8857,FCGBP,-2.75425,0.000155621,0.0065804
477,ATP1A2,-6.52091,0.000388021,0.106868
382,ARF6,2.44637,0.000189602,0.0592288
2146,EZH2,4.39476,5.65104e-06,0.548597
7018,TF,-6.2716,7.86374e-06,0.125651
4237,MFAP2,3.61069,0.000985579,0.0930261
7112,TMPO,2.41309,0.000844636,0.109042
4311,MME,-3.21654,1.3028e-07,0.148877
9232,PTTG1,3.45538,3.84727e-05,0.118751
8836,GGH,2.84224,0.000939558,0.0897459
56902,PNO1,2.56045,1.99304e-08,0.102314
4281,MID1,-2.39811,4.7439e-11,0.102699
6376,CX3CL1,-3.7823,3.60816e-09,0.07017
7764,ZNF217,2.67438,3.24596e-06,0.253612
25802,LMOD1,-4.08424,4.85232e-18,0.0342546
644,BLVRA,3.24371,2.70858e-06,0.00535891
6586,SLIT3,-3.1598,4.67443e-08,0.0239686
3489,IGFBP6,-3.96855,5.49498e-10,0.112222
1756,DMD,-4.83125,1.90673e-15,0.0910191
10379,IRF9,2.40972,0.000174574,0.0596987
1264,CNN1,-4.16649,8.96329e-12,0.104384
1365,CLDN3,3.30648,0.000738556,0.0908926
2167,FABP4,-5.16869,2.98949e-11,0.127207
10253,SPRY2,-2.79935,3.3238e-06,0.0944507
11015,KDELR3,3.19916,0.000124774,0.00611479
3039,HBA1,-2.80157,5.2976e-06,0.262858
11130,ZWINT,4.76784,3.90436e-07,0.113308
9319,TRIP13,3.99249,7.38674e-05,0.101451
5025,P2RX4,2.59995,2.58983e-05,0.0396075
6790,AURKA,4.66086,0.000378669,0.148141
2791,GNG11,-2.62371,1.2728e-11,0.0148404
5138,PDE2A,-2.91722,7.64088e-11,0.104887
7107,GPR137B,2.94275,9.96061e-05,0.00922637
1031,CDKN2C,-2.82541,0.00043028,0.408338
10403,NDC80,2.91155,5.80172e-05,0.0640457
1164,CKS2,4.3795,4.6128e-05,0.0996817
241,ALOX5AP,3.06603,0.000222097,0.010344
4151,MB,2.82937,4.81259e-05,0.087282
5549,PRELP,-3.30619,0.000159221,0.00689833
2643,GCH1,3.52008,2.76201e-05,0.0738607
1020,CDK5,2.63372,1.25901e-06,0.122903
1910,EDNRB,-3.97418,5.4216e-12,0.102193
275,AMT,-2.37252,3.47667e-09,0.00258706
6183,MRPS12,2.46479,1.62026e-10,0.0135394
4128,MAOA,-4.8163,0.000317514,0.0859772
3783,KCNN4,-3.27241,3.35151e-09,0.410677
2247,FGF2,-2.56442,3.49732e-12,0.114068
8425,LTBP4,-2.56673,3.91525e-12,0.0487868
3832,KIF11,4.38074,0.000734131,0.135623
667,DST,-5.15697,1.99625e-07,0.033242
5810,RAD1,3.06155,1.49627e-06,0.00468134
7122,CLDN5,-3.38048,2.26401e-10,0.0852363
9619,ABCG1,2.72823,1.46943e-05,0.0354786
1346,COX7A1,-3.28161,2.68607e-10,0.0173124
9683,N4BP1,2.34715,1.01369e-06,0.00147832
6366,CCL21,-2.97681,1.26437e-06,0.111011
1462,VCAN,3.00505,4.82467e-05,0.110585
4751,NEK2,2.52183,0.000503549,0.122067
3169,FOXA1,3.46572,1.21017e-10,0.720848
11197,WIF1,-6.3932,8.9861e-06,0.548144
10351,ABCA8,-4.80641,9.74729e-15,0.0342073
7049,TGFBR3,-4.32297,6.2097e-10,0.080282
3866,KRT15,-2.48144,0.000165932,0.0906381
3131,HLF,-3.37442,3.08919e-05,0.460782
9833,MELK,4.33928,2.63331e-06,0.150561
1641,DCX,-3.41689,0.000197578,0.0943761
5268,SERPINB5,-3.49952,2.77932e-07,0.119257
761,CA3,-2.93256,0.000676185,0.0253097
8639,AOC3,-4.40703,1.44008e-06,0.0624679
8406,SRPX,-2.94969,5.54621e-12,0.0452362
10124,ARL4A,-2.49421,1.87634e-11,0.0086995
9134,CCNE2,3.94618,2.39318e-05,0.114493
2568,GABRP,-6.67722,2.52622e-11,0.107556
3815,KIT,-3.6651,7.96572e-07,0.542049
1396,CRIP1,2.99771,0.000251654,0.0795889
2246,FGF1,-2.82687,1.56157e-10,0.069196
7123,CLEC3B,-4.59347,1.57623e-06,0.0919082
4828,NMB,-2.49591,8.80961e-06,0.010177
10840,ALDH1L1,-2.46414,1.13292e-08,0.0641911
2099,ESR1,3.08694,0.000309277,0.875615
6649,SOD3,-4.41022,1.48585e-07,0.0743965
9980,DOPEY2,3.65959,0.000329551,
8723,SNX4,2.34477,2.49429e-06,
8424,BBOX1,-3.38291,5.07534e-06,0.04958
1675,CFD,-5.3611,7.758e-10,0.0869816
5348,FXYD1,-5.12263,6.45396e-09,0.0106837
6358,CCL14,-4.36119,6.50525e-08,0.0229086
3241,HPCAL1,2.57702,1.5115e-05,
5154,PDGFA,-2.32817,1.61181e-07,0.0867458
5502,PPP1R1A,-5.50379,3.08524e-05,0.0215286
5328,PLAU,2.85872,0.000599771,0.109663
2690,GHR,-3.21031,5.44294e-05,0.105723
22899,ARHGEF15,-2.56511,2.15083e-10,0.0164163
5125,PCSK5,-2.51492,1.35722e-05,0.0112272
5152,PDE9A,-3.61055,1.90822e-08,0.103153
284,ANGPT1,-2.48803,7.79244e-05,0.132044
4222,MEOX1,-3.76706,5.33182e-07,0.0458817
80308,FLAD1,2.51168,0.00035596,0.0942199
56061,UBFD1,2.83043,3.57919e-06,0.0410234
10993,SDS,2.52361,2.3052e-05,0.0363263
3316,HSPB2,-3.67882,7.77874e-09,0.102566
5463,POU6F1,-2.43288,1.32027e-13,0.00335659
7704,ZBTB16,-4.85454,1.43892e-06,0.533218
9221,NOLC1,3.46639,4.0211e-05,0.0989993
5649,RELN,-5.6666,1.25174e-06,0.0875796
1300,COL10A1,8.60099,0.000788537,0.124576
5966,REL,2.83838,7.0215e-06,0.428053
23405,DICER1,2.71846,0.000126386,0.449453
7146,TNXA,-6.9955,4.17353e-08,0.00258706
9837,GINS1,3.24686,3.87056e-05,0.06273
5868,RAB5A,3.92624,0.000320042,0.104324
1811,SLC26A3,-4.89032,0.000441207,0.0493816
5806,PTX3,-3.40801,1.76861e-06,0.124977
4081,MAB21L1,-2.42104,0.000145854,0.0132922
154,ADRB2,-2.94301,0.000222109,0.143652
4223,MEOX2,-4.48448,2.21694e-06,0.0916527
762,CA4,-3.51301,0.000109595,0.0509165
7079,TIMP4,-6.90883,0.000640526,0.0500957
1950,EGF,-2.35766,0.000611692,0.11063
126,ADH1C,-3.72994,2.00382e-11,0.0394968
11163,NUDT4,2.54612,9.95934e-05,0.00147832
9735,KNTC1,2.89195,0.000738125,0.0184585
4983,OPHN1,-2.87977,4.38792e-14,
9928,KIF14,3.15931,0.000535815,0.086882
79867,TCTN2,-3.23291,3.56892e-08,
57447,NDRG2,-3.85042,1.04309e-13,0.129763
7090,TLE3,2.84196,0.000181851,0.0876322
9079,LDB2,-2.90101,2.34959e-08,0.0151301
948,CD36,-4.32282,2.71379e-05,0.120903
8775,NAPA,2.34751,4.75846e-09,
8190,MIA,-4.70836,1.24231e-10,0.00969353
9582,APOBEC3B,4.28177,0.000180567,0.414943
2277,FIGF,-5.74788,1.61075e-08,
23443,SLC35A3,2.39694,0.000957508,0.00432203
5021,OXTR,-4.83165,1.01622e-12,0.1061
10633,RASL10A,-4.28244,7.08419e-05,0.0135073
6898,TAT,-2.92147,0.000584397,0.0954778
364,AQP7,-3.33335,0.000116844,0.0393074
5325,PLAGL1,-2.69492,2.6962e-10,0.0297497
8854,ALDH1A2,-3.50889,1.52783e-08,0.0173721
9194,SLC16A7,-2.75223,0.000905025,0.0806691
3952,LEP,-9.09605,8.69328e-05,0.126757
6291,SAA2-SAA4,-3.26146,0.000243872,
25836,NIPBL,2.5393,2.06194e-07,0.0696053
4435,CITED1,-3.22938,0.000134217,0.0629052
3161,HMMR,4.31422,0.000124486,0.218578
1009,CDH11,4.8273,0.000191204,0.535108
9370,ADIPOQ,-6.9321,3.90954e-07,0.12372
55568,GALNT10,2.65961,0.000285086,0.0125144
4212,MEIS2,-2.39436,2.36651e-13,0.0856473
11170,FAM107A,-2.93814,0.000123859,0.0422057
4179,CD46,4.53895,3.77777e-05,0.0206253
8202,NCOA3,2.38528,2.62605e-07,0.116657
5861,RAB1A,3.08464,3.78842e-07,0.060481
5627,PROS1,-2.5576,2.05682e-14,0.0921043
1453,CSNK1D,2.32513,1.91903e-05,0.0667491
11332,ACOT7,2.56764,2.14528e-05,0.0232192
2196,FAT2,-2.76799,1.38027e-09,0.0189751
3991,LIPE,-4.31707,7.89148e-06,0.0230398
2532,ACKR1,-3.54333,2.6108e-08,0.103366
1908,EDN3,-4.0027,2.56435e-05,0.0944654
3665,IRF7,2.44812,0.000695503,0.0423323
7511,XPNPEP1,2.32479,2.09597e-06,0.0150458
6288,SAA1,-7.10219,4.42411e-05,0.109138
100133941,CD24,3.06695,0.000413654,0.119406
682,BSG,2.40392,1.03738e-05,0.115108
7070,THY1,2.99037,0.000888127,0.0821712
3122,HLA-DRA,2.33115,7.36881e-05,0.017293
5531,PPP4C,2.4841,6.38967e-09,0.0772759
23185,LARP4B,3.98577,1.05446e-06,0.279847
1397,CRIP2,2.56919,0.000795661,0.0995089
3856,KRT8,2.64642,3.35111e-07,0.129074
10006,ABI1,2.40006,1.38081e-08,0.560231
988,CDC5L,2.74636,2.21644e-05,0.0332631
10362,HMG20B,2.65288,1.43987e-05,0.0158919
10548,TM9SF1,2.36842,2.89743e-08,0.0390293
2824,GPM6B,-4.16117,3.81239e-07,0.035318
10551,AGR2,3.74026,5.45145e-06,0.113894
488,ATP2A2,2.49857,1.21326e-12,0.0827457
9526,MPDU1,2.31343,2.26531e-06,
2719,GPC3,-3.60344,3.65824e-06,0.572774
6809,STX3,2.40882,1.89164e-08,0.0395943
3914,LAMB3,-3.04989,1.42295e-07,0.030057
1410,CRYAB,-5.57443,2.97203e-07,0.0606844
3400,ID4,-4.32243,4.4596e-17,0.125944
3861,KRT14,-4.93912,1.0632e-12,0.124285
5168,ENPP2,-3.1026,4.99745e-09,0.118125
11004,KIF2C,4.54209,0.000662383,0.109781
5764,PTN,-4.85008,1.15309e-05,0.120785
4686,NCBP1,2.4648,0.000218371,0.0782922
3479,IGF1,-3.47048,2.00084e-11,0.297338
4692,NDN,-2.54775,5.64781e-10,0.0812234
8788,DLK1,-8.18495,0.000124328,0.0779962
27065,NSG1,-3.40314,1.40281e-07,0.120692
2770,GNAI1,-2.9545,4.63186e-05,0.0269366
2625,GATA3,2.53166,1.68281e-05,0.757128
125,ADH1B,-5.56225,5.76002e-06,0.0691995
1066,CES1,-4.75819,5.23065e-05,0.0354839
699,BUB1,3.46253,0.00096001,0.0960652
3679,ITGA7,-4.31958,0.000243093,0.104601
6285,S100B,-6.58148,9.8816e-05,0.113127
2203,FBP1,3.14089,0.000150617,0.105308
1646,AKR1C2,-5.33759,2.51919e-06,0.088657
91851,CHRDL1,-5.80956,2.35178e-07,0.0397191
8728,ADAM19,2.42018,0.000932779,0.0154644
2920,CXCL2,-4.25497,0.000112442,0.107018
90865,IL33,-2.8549,0.000870459,0.122751
7371,MIR3658,2.54959,8.13162e-07,
6663,SOX10,-6.24449,3.58884e-10,0.120786
8626,TP63,-4.43889,2.96255e-10,0.570917
6016,RIT1,3.715,1.80502e-06,0.0239874
3953,LEPR,-4.02713,5.05816e-08,0.120601
3205,HOXA10-HOXA9,-3.05036,6.58734e-12,
3779,KCNMB1,-2.60414,2.65703e-05,0.019597
2191,FAP,4.28137,9.75014e-05,0.121286
810,CALML3,-2.82353,0.000324963,0.0240334
10411,RAPGEF3,-3.84034,1.7633e-09,0.0844925
22974,TPX2,5.37997,1.97154e-05,0.115474
5603,MAPK13,2.78614,3.72298e-05,0.0130614
6674,SPAG1,4.40908,6.79146e-05,0.0821708
10265,IRX5,2.4022,7.9301e-06,0.294938
23118,TAB2,3.24,0.000224039,0.421705
7531,YWHAE,3.10059,0.000298179,0.415962
53335,BCL11A,-2.85988,4.83365e-14,0.535481
1672,DEFB1,-3.17605,2.2107e-08,0.0523369
6328,SCN3A,-3.87418,8.78912e-07,0.395544
3624,INHBA,6.36786,2.29759e-05,0.113923
9590,AKAP12,-2.72198,1.22884e-05,0.0983637
5987,TRIM27,2.45116,2.19834e-07,0.411851
4240,MFGE8,-2.78826,1.01595e-11,0.112596
2886,GRB7,5.21346,0.000722901,0.105217
55384,MEG3,-2.96811,3.06788e-09,0.117093
5329,PLAUR,4.35158,0.000526244,0.306146
825,CAPN3,-2.37655,1.28909e-14,
8908,GYG2,-4.93258,0.000178657,0.0156764
27229,TUBGCP4,2.31096,0.000334367,
8706,B3GALNT1,3.19301,6.95132e-05,0.0117422
6457,SH3GL3,-6.90513,3.89407e-06,0.00147832
4337,MOCS1,-2.72911,4.54166e-10,0.00458997
83988,NCALD,-2.68445,1.06254e-07,0.100699
2327,FMO2,-5.06907,1.5166e-10,0.0376682
10955,SERINC3,2.35644,3.70444e-07,0.0138737
10963,STIP1,5.14411,0.00020958,0.0502482
9777,TM9SF4,2.81056,3.28546e-05,0.0196596
23014,FBXO21,2.37267,2.35172e-07,
8879,SGPL1,2.51433,1.48804e-05,0.0559011
219654,ZCCHC24,-2.33165,7.15806e-11,0.0565699
253782,CERS6,2.85651,2.79634e-06,0.100531
171546,SPTSSA,2.72111,0.000560472,0.00312658
9645,MICAL2,4.13198,1.05207e-05,0.118407
27351,DESI1,2.39811,0.000306076,
83660,TLN2,-3.10975,0.000513171,0.019948
23336,SYNM,-4.9041,8.27531e-12,0.0481069
221061,FAM171A1,-2.33623,1.97391e-18,0.099053
541578,CXorf40B,2.5137,1.34502e-05,
11011,TLK2,2.74435,0.000448619,0.0796801
55215,FANCI,3.87675,4.76509e-05,0.123839
10865,ARID5A,-2.72612,3.64658e-10,0.0219838
1028,CDKN1C,-3.33664,2.08814e-10,0.116518
23235,SIK2,-2.97735,3.36264e-07,0.0923359
79987,SVEP1,-3.00414,1.58117e-05,0.018383
91966,CXorf40A,2.68641,9.21779e-06,
53405,CLIC5,-2.62481,0.000479843,0.00469643
53844,COPG2IT1,-4.88497,1.83229e-05,0.019716
50486,G0S2,-5.19026,2.77493e-06,0.103873
23178,PASK,2.39362,0.000175068,0.00511384
25891,PAMR1,-4.55617,2.87692e-10,0.0311043
55742,PARVA,-2.79243,3.2456e-16,0.00835964
256949,KANK3,-2.86789,5.98181e-13,0.00800177
3075,CFH,-2.35358,0.000633844,0.0530486
3202,HOXA5,-5.24165,2.35875e-16,0.110008
9413,FAM189A2,-4.34819,1.95096e-13,
2774,GNAL,-3.70041,2.29457e-10,0.0241017
4604,MYBPC1,-8.22252,0.000211499,0.0819877
645166,LOC645166,-2.3238,1.73766e-09,
90141,EFCAB11,2.58486,5.30562e-05,0.00251976
2210,FCGR1B,4.19543,0.000787402,
9073,CLDN8,-4.60279,1.00969e-09,0.104802
891,CCNB1,5.42301,0.000820986,0.115409
5380,PMS2L2,2.74553,0.000106342,
27324,TOX3,2.72453,0.000619248,0.575095
25854,FAM149A,-2.96163,0.000400276,0.00630164
57556,SEMA6A,-3.15789,0.000200637,0.0364644
349152,DPY19L2P2,-3.21742,0.000355568,
57061,HYMAI,-2.34487,1.1567e-08,0.00886992
2747,GLUD2,2.42907,0.000115069,0.00406538
23117,NPIPA5,3.30053,1.52886e-06,
2209,FCGR1A,4.07706,0.000430644,0.0229598
4499,MT1M,-2.98479,7.79545e-06,0.0753806
51495,PTPLAD1,5.33603,6.84079e-06,
5832,ALDH18A1,3.07496,1.01183e-06,0.0156901
7328,UBE2H,3.61735,3.20309e-06,0.00441443
51714,SELT,2.90551,0.000175523,
51012,SLMO2,2.47303,3.18291e-08,
51133,KCTD3,2.54519,0.000122956,0.0064311
28977,MRPL42,3.77859,7.25999e-05,0.00602199
58478,ENOPH1,2.30188,2.40965e-06,0.0696718
9055,PRC1,6.05044,0.000619674,0.565837
51164,DCTN4,2.96252,0.000179584,0.11123
51203,NUSAP1,5.64618,0.00017967,0.0960077
57645,POGK,2.86301,2.35685e-06,0.0132716
81539,SLC38A1,2.40733,3.38368e-06,0.102864
79016,DDA1,3.3339,3.89118e-05,0.0370011
10053,AP1M2,2.33488,3.33086e-05,0.0270815
55851,PSENEN,4.16935,1.39161e-05,0.112708
10460,TACC3,3.26627,0.000766158,0.145667
79956,ERMP1,3.67742,1.11462e-06,0.017469
4940,OAS3,3.87772,0.000526656,0.0878724
23528,ZNF281,2.73576,3.56155e-07,0.0522901
51397,COMMD10,2.74543,0.000102211,
54442,KCTD5,3.51759,8.48775e-08,0.0801355
29095,ORMDL2,3.03554,1.61445e-08,
10072,DPP3,3.02739,2.85552e-06,0.0906007
51514,DTL,4.83142,0.000282973,0.0941769
79666,PLEKHF2,3.59903,6.64275e-05,0.00626298
55323,LARP6,-2.86998,2.67826e-06,0.0827891
64151,NCAPG,2.55869,0.000322212,0.111069
8322,FZD4,-2.48876,1.54392e-05,0.0969791
57402,S100A14,3.76551,0.000212747,0.103822
10763,NES,-3.01587,9.37902e-10,0.102037
55214,LEPREL1,-3.44306,1.03467e-09,
29097,CNIH4,2.32882,6.53425e-06,0.012958
54873,PALMD,-3.4502,0.000175515,0.0299441
79019,CENPM,2.32333,0.000988951,0.100469
10112,KIF20A,3.51825,0.000509202,0.104869
51728,POLR3K,3.85523,4.70815e-06,0.0104517
54997,TESC,-4.51124,5.98764e-08,0.0530878
26271,FBXO5,2.32313,8.5985e-05,0.0902376
79682,CENPU,4.73537,0.000190784,0.107074
79058,ASPSCR1,2.47563,1.21431e-05,0.262282
26750,RPS6KC1,2.33533,6.98891e-06,
65263,PYCRL,2.63109,0.000967794,
9317,PTER,2.97331,8.84235e-06,0.00515359
80010,RMI1,2.94837,0.000143156,0.0115272
55500,ETNK1,3.6081,3.00387e-06,0.509671
