ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
211565_at,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",6457,1.2e-22,4.01e-27,-26.3,51.1008,-6.34306
1558254_s_at,SRPK2,SRSF protein kinase 2,6733,1.37e-20,1.37e-24,22.6,45.6103,3.88955
205597_at,SLC44A4,solute carrier family 44 member 4,80736,6.64e-20,8.89e-24,21.5,43.8294,5.85068
1562527_at,LOC441666,zinc finger protein 91 pseudogene,441666,2.29e-19,3.83e-23,-20.7,42.4282,-5.38556
224012_at,ANKRD20A4,ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1,728747,1.72e-18,3.57e-22,-19.4,40.2788,-4.94476
222699_s_at,PLEKHF2,pleckstrin homology and FYVE domain containing 2,79666,1.72e-18,4.48e-22,19.3,40.0589,4.9842
215646_s_at,VCAN,versican,1462,1.72e-18,4.61e-22,19.3,40.0303,7.45133
243689_s_at,FRG1BP,"FSHD region gene 1 family member B, pseudogene",284802,1.85e-18,6.18e-22,-19.2,39.7464,-6.07333
220232_at,SCD5,stearoyl-CoA desaturase 5,79966,2.44e-18,8.98e-22,-19,39.3851,-3.9069
219121_s_at,ESRP1,epithelial splicing regulatory protein 1,54845,4.98e-18,2e-21,18.6,38.6093,4.71584
202543_s_at,GMFB,glia maturation factor beta,2764,5.09e-18,2.22e-21,18.5,38.5094,3.92518
205941_s_at,COL10A1,collagen type X alpha 1 chain,1300,1.54e-17,8.23e-21,17.8,37.2337,8.64166
231766_s_at,COL12A1,collagen type XII alpha 1 chain,1303,1.99e-17,1.13e-20,17.7,36.9241,7.2005
208622_s_at,EZR,ezrin,7430,2.18e-17,1.39e-20,17.6,36.7255,5.38798
212344_at,SULF1,sulfatase 1,23213,3.49e-17,2.34e-20,17.3,36.215,5.94413
201971_s_at,ATP6V1A,ATPase H+ transporting V1 subunit A,523,3.67e-17,2.62e-20,17.3,36.1055,4.86917
213715_s_at,KANK3,KN motif and ankyrin repeat domains 3,256949,3.67e-17,2.75e-20,-17.3,36.056,-2.71424
217777_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,51495,3.67e-17,2.83e-20,17.2,36.0296,5.47022
201663_s_at,SMC4,structural maintenance of chromosomes 4,10051,4.55e-17,3.66e-20,17.1,35.7789,4.75038
205824_at,HSPB2,heat shock protein family B (small) member 2,3316,4.68e-17,3.92e-20,-17.1,35.7115,-3.42905
211612_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,3597,6.24e-17,5.43e-20,16.9,35.3919,4.21972
231031_at,FGF7P3,fibroblast growth factor 7 pseudogene 3,654466,8.9e-17,8.05e-20,-16.7,35.0078,-2.67813
201688_s_at,TPD52,tumor protein D52,7163,1.07e-16,1.04e-19,16.6,34.756,6.28158
220725_x_at,DNAH3,dynein axonemal heavy chain 3,55567,1.08e-16,1.09e-19,-16.6,34.7144,-2.91322
209686_at,S100B,S100 calcium binding protein B,6285,1.53e-16,1.59e-19,-16.4,34.3398,-5.56016
1568954_s_at,C16orf72,chromosome 16 open reading frame 72,29035,1.86e-16,2.03e-19,16.3,34.1039,3.3554
204667_at,FOXA1,forkhead box A1,3169,1.86e-16,2.07e-19,16.3,34.081,3.82225
211673_s_at,MOCS1,molybdenum cofactor synthesis 1,4337,1.86e-16,2.12e-19,-16.3,34.0605,-2.77791
227006_at,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,94274,2.17e-16,2.54e-19,-16.2,33.8833,-4.75704
204421_s_at,FGF2,fibroblast growth factor 2,2247,2.32e-16,2.8e-19,-16.2,33.7868,-2.34124
216153_x_at,RECK,reversion inducing cysteine rich protein with kazal motifs,8434,2.36e-16,2.93e-19,-16.1,33.7437,-2.4718
220027_s_at,RASIP1,Ras interacting protein 1,54922,2.36e-16,3e-19,-16.1,33.7204,-2.99855
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,1452,2.69e-16,3.52e-19,16.1,33.5629,4.3834
238964_at,FIGN,"fidgetin, microtubule severing factor",55137,3.24e-16,4.43e-19,-16,33.3376,-3.42805
206323_x_at,OPHN1,oligophrenin 1,4983,3.84e-16,5.4e-19,-15.9,33.1419,-2.74261
206879_s_at,NRG2,neuregulin 2,9542,4.39e-16,6.32e-19,-15.8,32.9882,-1.90486
201351_s_at,YME1L1,YME1 like 1 ATPase,10730,4.74e-16,6.98e-19,15.7,32.8901,1.83403
219550_at,ROBO3,roundabout guidance receptor 3,64221,4.98e-16,7.51e-19,-15.7,32.8191,-2.67582
207265_s_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,11015,5.41e-16,8.69e-19,15.6,32.6753,3.98919
231969_at,STOX2,storkhead box 2,56977,5.41e-16,8.7e-19,-15.6,32.6746,-3.68352
210735_s_at,CA12,carbonic anhydrase 12,771,5.57e-16,9.13e-19,15.6,32.627,6.13946
201523_x_at,UBE2N,ubiquitin conjugating enzyme E2 N,7334,5.58e-16,9.53e-19,15.6,32.5847,4.27918
210495_x_at,FN1,fibronectin 1,2335,6.37e-16,1.11e-18,15.5,32.4367,3.62455
220150_s_at,FAM184A,family with sequence similarity 184 member A,79632,6.63e-16,1.18e-18,-15.5,32.3786,-2.01416
224159_x_at,TRIM4,tripartite motif containing 4,89122,8.51e-16,1.57e-18,-15.4,32.0963,-3.28171
201504_s_at,TSN,translin,7247,8.69e-16,1.63e-18,15.4,32.0574,3.63724
1554003_at,ARHGEF28,Rho guanine nucleotide exchange factor 28,64283,1.11e-15,2.18e-18,-15.2,31.7697,-2.39738
227952_at,ZNF595,zinc finger protein 595,152687,1.11e-15,2.21e-18,-15.2,31.7585,-5.43345
223796_at,CNTNAP3B,contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3,728577,1.11e-15,2.21e-18,-15.2,31.7578,-3.59229
238701_x_at,COLCA1,colorectal cancer associated 1,399948,1.11e-15,2.22e-18,-15.2,31.7529,-2.66571
1570255_s_at,ANKRD20A12P,"ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1",100874392,1.11e-15,2.27e-18,-15.2,31.7294,-4.24808
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,51128,1.11e-15,2.3e-18,15.2,31.7173,3.16507
232078_at,NECTIN2,nectin cell adhesion molecule 2,5819,1.13e-15,2.38e-18,15.2,31.6835,4.82155
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,9221,1.21e-15,2.58e-18,15.2,31.6044,3.51722
214063_s_at,TF,transferrin,7018,1.36e-15,3.01e-18,-15.1,31.453,-5.1696
222507_s_at,TMEM9B,TMEM9 domain family member B,56674,1.85e-15,4.35e-18,14.9,31.0923,4.79424
1554747_a_at,SEPT2,septin 2,4735,1.96e-15,4.65e-18,14.9,31.026,4.80115
201309_x_at,NREP,neuronal regeneration related protein,9315,2.02e-15,4.86e-18,14.9,30.9824,4.73584
212008_at,UBXN4,UBX domain protein 4,23190,2.04e-15,4.98e-18,14.9,30.9577,5.05378
1555948_s_at,FAM120A,family with sequence similarity 120A,23196,2.05e-15,5.08e-18,14.9,30.9386,3.46084
226524_at,C3orf38,chromosome 3 open reading frame 38,285237,2.11e-15,5.36e-18,14.8,30.8854,3.16563
233208_x_at,CPSF2,cleavage and polyadenylation specific factor 2,53981,2.11e-15,5.38e-18,14.8,30.8829,2.4729
217799_x_at,UBE2H,ubiquitin conjugating enzyme E2 H,7328,2.14e-15,5.52e-18,14.8,30.8569,4.15536
244655_at,LOC100507311,uncharacterized LOC100507311,100507311,2.47e-15,6.47e-18,-14.8,30.7003,-3.59949
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,2.47e-15,6.53e-18,14.8,30.6908,4.38373
200086_s_at,COX4I1,cytochrome c oxidase subunit 4I1,1327,3.15e-15,8.54e-18,-14.6,30.4264,-1.26055
233878_s_at,XRN2,5'-3' exoribonuclease 2,22803,3.22e-15,8.83e-18,14.6,30.3934,3.74323
203435_s_at,MME,membrane metallo-endopeptidase,4311,3.25e-15,9.03e-18,-14.6,30.3718,-3.80433
202311_s_at,COL1A1,collagen type I alpha 1 chain,1277,3.33e-15,9.37e-18,14.6,30.3353,5.45264
213486_at,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding),53844,3.38e-15,9.63e-18,-14.6,30.3087,-4.30073
202955_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,10565,3.99e-15,1.15e-17,14.5,30.1348,3.45626
210511_s_at,INHBA,inhibin beta A subunit,3624,4.31e-15,1.25e-17,14.5,30.0474,6.12171
214845_s_at,CALU,calumenin,813,4.38e-15,1.29e-17,14.5,30.0192,4.30004
222473_s_at,ERBIN,erbb2 interacting protein,55914,4.57e-15,1.36e-17,14.4,29.9659,2.7821
1569106_s_at,SETD5,SET domain containing 5,55209,4.83e-15,1.45e-17,14.4,29.9014,4.07638
221009_s_at,ANGPTL4,angiopoietin like 4,51129,5.43e-15,1.65e-17,-14.4,29.7744,-4.12753
208952_s_at,LARP4B,La ribonucleoprotein domain family member 4B,23185,5.43e-15,1.67e-17,14.4,29.764,3.5556
229839_at,SCARA5,scavenger receptor class A member 5,286133,6e-15,1.87e-17,-14.3,29.6542,-6.69457
213292_s_at,SNX13,sorting nexin 13,23161,6e-15,1.89e-17,14.3,29.645,2.41123
222442_s_at,ARL8B,ADP ribosylation factor like GTPase 8B,55207,6.08e-15,1.95e-17,14.3,29.6108,2.99006
217791_s_at,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,6.34e-15,2.06e-17,14.3,29.5591,3.2864
212960_at,TBC1D9,TBC1 domain family member 9,23158,8.41e-15,2.76e-17,14.2,29.2704,4.38515
212623_at,TMEM41B,transmembrane protein 41B,440026,8.59e-15,2.88e-17,14.1,29.229,4.0356
204134_at,PDE2A,phosphodiesterase 2A,5138,9.1e-15,3.11e-17,-14.1,29.1526,-2.96033
219015_s_at,ALG13,"ALG13, UDP-N-acetylglucosaminyltransferase subunit",79868,9.26e-15,3.19e-17,14.1,29.126,3.36644
203952_at,ATF6,activating transcription factor 6,22926,9.73e-15,3.39e-17,14.1,29.0669,1.60784
222976_s_at,TPM3,tropomyosin 3,7170,1.02e-14,3.61e-17,14,29.0034,1.88042
236038_at,RNF150,ring finger protein 150,57484,1.07e-14,3.85e-17,-14,28.9414,-3.93524
230906_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,55568,1.08e-14,3.9e-17,14,28.9293,4.30092
211098_x_at,TMCO1,transmembrane and coiled-coil domains 1,54499,1.08e-14,3.94e-17,14,28.9179,2.21791
237737_at,LOC101927345,"putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene",101927345,1.09e-14,4.01e-17,-14,28.9017,-3.49858
225400_at,TSEN15,tRNA splicing endonuclease subunit 15,116461,1.1e-14,4.07e-17,14,28.8849,3.38426
230790_x_at,FOXN3,forkhead box N3,1112,1.11e-14,4.17e-17,-14,28.8619,-2.81035
236223_s_at,RIT1,Ras like without CAAX 1,6016,1.11e-14,4.18e-17,14,28.8595,2.58246
200776_s_at,BZW1,basic leucine zipper and W2 domains 1,9689,1.15e-14,4.39e-17,14,28.8108,3.024
212514_x_at,DDX3X,"DEAD-box helicase 3, X-linked",1654,1.17e-14,4.53e-17,13.9,28.781,2.8878
200900_s_at,M6PR,"mannose-6-phosphate receptor, cation dependent",4074,1.17e-14,4.55e-17,13.9,28.7756,4.03524
217919_s_at,MRPL42,mitochondrial ribosomal protein L42,28977,1.3e-14,5.15e-17,13.9,28.653,3.80953
212595_s_at,DAZAP2,DAZ associated protein 2,9802,1.33e-14,5.3e-17,13.9,28.625,4.77417
227984_at,LMF1,lipase maturation factor 1,64788,1.35e-14,5.42e-17,-13.9,28.6023,-3.89172
218302_at,PSENEN,presenilin enhancer gamma-secretase subunit,55851,1.37e-14,5.55e-17,13.9,28.579,4.50705
32502_at,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5,81544,1.4e-14,5.73e-17,-13.9,28.5481,-3.08461
206742_at,PIR-FIGF,PIR-FIGF readthrough///c-fos induced growth factor,100532742,1.45e-14,5.95e-17,-13.8,28.5105,-4.93675
220926_s_at,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3,80267,1.6e-14,6.62e-17,13.8,28.4049,2.34759
219787_s_at,ECT2,epithelial cell transforming 2,1894,1.73e-14,7.24e-17,13.8,28.3167,2.95081
229802_at,WISP1,WNT1 inducible signaling pathway protein 1,8840,1.73e-14,7.32e-17,13.8,28.3067,6.24812
224725_at,MIB1,mindbomb E3 ubiquitin protein ligase 1,57534,1.76e-14,7.49e-17,13.7,28.2828,1.90199
32625_at,NPR1,natriuretic peptide receptor 1,4881,1.89e-14,8.13e-17,-13.7,28.2021,-4.28927
214007_s_at,TWF1,twinfilin actin binding protein 1,5756,1.89e-14,8.16e-17,13.7,28.199,3.7329
225716_at,BRI3BP,BRI3 binding protein,140707,2.13e-14,9.3e-17,13.7,28.069,2.29256
201912_s_at,GSPT1,G1 to S phase transition 1,2935,2.13e-14,9.33e-17,13.7,28.0664,3.25153
218866_s_at,POLR3K,RNA polymerase III subunit K,51728,2.13e-14,9.41e-17,13.6,28.0581,4.00956
201169_s_at,BHLHE40,basic helix-loop-helix family member e40,8553,2.21e-14,9.86e-17,13.6,28.0117,5.58404
205507_at,ARHGEF15,Rho guanine nucleotide exchange factor 15,22899,2.21e-14,9.9e-17,-13.6,28.0081,-2.35553
205030_at,FABP7,fatty acid binding protein 7,2173,2.38e-14,1.08e-16,-13.6,27.9241,-4.47098
1554441_a_at,WAPL,WAPL cohesin release factor,23063,2.47e-14,1.13e-16,13.6,27.8803,3.32816
209526_s_at,HDGFRP3,"hepatoma-derived growth factor, related protein 3",50810,2.5e-14,1.15e-16,13.6,27.8623,3.5867
211559_s_at,CCNG2,cyclin G2,901,2.68e-14,1.24e-16,13.5,27.7874,5.52905
217188_s_at,C14orf1,chromosome 14 open reading frame 1,11161,2.7e-14,1.26e-16,13.5,27.771,3.87928
207549_x_at,CD46,CD46 molecule,4179,3.09e-14,1.46e-16,13.5,27.6249,4.95172
203878_s_at,MMP11,matrix metallopeptidase 11,4320,3.35e-14,1.59e-16,13.4,27.5379,6.22327
207172_s_at,CDH11,cadherin 11,1009,3.37e-14,1.61e-16,13.4,27.5249,5.57914
224642_at,FYTTD1,forty-two-three domain containing 1,84248,3.5e-14,1.71e-16,13.4,27.4678,3.73548
213260_at,FOXC1,forkhead box C1,2296,3.5e-14,1.71e-16,-13.4,27.4654,-2.71716
222587_s_at,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,51809,3.88e-14,1.92e-16,13.4,27.351,5.14328
222496_s_at,RBM47,RNA binding motif protein 47,54502,4.48e-14,2.31e-16,13.3,27.1697,3.72244
237040_at,CWF19L2,"CWF19-like 2, cell cycle control (S. pombe)",143884,4.72e-14,2.45e-16,-13.3,27.1111,-2.09378
218342_s_at,ERMP1,endoplasmic reticulum metallopeptidase 1,79956,4.92e-14,2.59e-16,13.2,27.0578,3.67619
200751_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),3183,4.96e-14,2.62e-16,13.2,27.0438,3.33372
242731_x_at,BMPR1A,bone morphogenetic protein receptor type 1A,657,5.29e-14,2.83e-16,-13.2,26.9668,-1.28603
227335_at,DIDO1,death inducer-obliterator 1,11083,5.39e-14,2.91e-16,13.2,26.94,2.17173
210337_s_at,ACLY,ATP citrate lyase,47,5.39e-14,2.92e-16,13.2,26.936,4.12335
225734_at,FBXO22,F-box protein 22,26263,5.54e-14,3.02e-16,13.2,26.9038,1.81044
206075_s_at,CSNK2A1,casein kinase 2 alpha 1,1457,5.68e-14,3.14e-16,13.2,26.866,3.76121
203417_at,MFAP2,microfibrillar associated protein 2,4237,5.68e-14,3.15e-16,13.2,26.8614,4.80916
201879_at,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,25820,5.68e-14,3.15e-16,13.2,26.8612,3.58495
202143_s_at,COPS8,COP9 signalosome subunit 8,10920,5.78e-14,3.24e-16,13.1,26.8337,4.20772
200890_s_at,SSR1,signal sequence receptor subunit 1,6745,5.78e-14,3.25e-16,13.1,26.8314,2.54536
201920_at,SLC20A1,solute carrier family 20 member 1,6574,5.84e-14,3.32e-16,13.1,26.8109,2.30715
220775_s_at,UEVLD,UEV and lactate/malate dehyrogenase domains,55293,5.84e-14,3.32e-16,13.1,26.8099,2.26553
224829_at,CPEB4,cytoplasmic polyadenylation element binding protein 4,80315,6.08e-14,3.49e-16,13.1,26.7612,4.47758
216591_s_at,SDHC,succinate dehydrogenase complex subunit C,6391,6.08e-14,3.5e-16,13.1,26.7573,4.11557
1554433_a_at,ZNF146,zinc finger protein 146,7705,6.32e-14,3.66e-16,13.1,26.7133,3.883
1555736_a_at,AGTRAP,angiotensin II receptor associated protein,57085,6.47e-14,3.79e-16,13.1,26.6788,3.79947
201585_s_at,SFPQ,splicing factor proline and glutamine rich,6421,6.5e-14,3.83e-16,13.1,26.6694,2.16011
200698_at,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,11014,6.9e-14,4.09e-16,13.1,26.6038,2.25516
203108_at,GPRC5A,G protein-coupled receptor class C group 5 member A,9052,6.99e-14,4.17e-16,13,26.5855,5.17479
823_at,CX3CL1,C-X3-C motif chemokine ligand 1,6376,7.47e-14,4.48e-16,-13,26.5145,-4.33106
235103_at,MAN2A1,mannosidase alpha class 2A member 1,4124,7.58e-14,4.57e-16,13,26.4938,3.9818
201096_s_at,ARF4,ADP ribosylation factor 4,378,8.41e-14,5.1e-16,13,26.3858,3.71406
204460_s_at,RAD1,RAD1 checkpoint DNA exonuclease,5810,8.43e-14,5.14e-16,13,26.3783,2.95377
222981_s_at,RAB10,"RAB10, member RAS oncogene family",10890,8.47e-14,5.19e-16,13,26.3682,2.55619
217763_s_at,RAB31,"RAB31, member RAS oncogene family",11031,8.71e-14,5.36e-16,12.9,26.3355,3.60303
211090_s_at,PRPF4B,pre-mRNA processing factor 4B,8899,9.23e-14,5.72e-16,12.9,26.2722,4.56624
238062_at,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,338328,9.51e-14,5.98e-16,-12.9,26.227,-4.35511
218324_s_at,SPATS2,spermatogenesis associated serine rich 2,65244,9.55e-14,6.07e-16,12.9,26.2126,2.69905
224917_at,MIR21,microRNA 21///vacuole membrane protein 1,406991,9.55e-14,6.08e-16,12.9,26.2117,4.86464
203553_s_at,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,11183,9.74e-14,6.23e-16,12.9,26.1876,3.31039
225237_s_at,MSI2,musashi RNA binding protein 2,124540,9.92e-14,6.37e-16,12.9,26.1643,4.48067
228851_s_at,ENSA,endosulfine alpha,2029,1e-13,6.47e-16,12.9,26.1498,3.53597
205140_at,FPGT,fucose-1-phosphate guanylyltransferase,8790,1.03e-13,6.69e-16,12.9,26.1169,2.22446
207782_s_at,PSEN1,presenilin 1,5663,1.03e-13,6.7e-16,12.9,26.1153,3.89377
201742_x_at,SRSF1,serine and arginine rich splicing factor 1,6426,1.06e-13,7.01e-16,12.8,26.0695,5.04574
218209_s_at,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A,55197,1.08e-13,7.21e-16,12.8,26.0427,3.28348
202654_x_at,MARCH7,membrane associated ring-CH-type finger 7,64844,1.11e-13,7.46e-16,12.8,26.0084,3.35501
1554260_a_at,FRYL,FRY like transcription coactivator,285527,1.19e-13,8e-16,12.8,25.9396,3.167
1564494_s_at,P4HB,prolyl 4-hydroxylase subunit beta,5034,1.2e-13,8.13e-16,12.8,25.9226,5.5041
204427_s_at,TMED2,transmembrane p24 trafficking protein 2,10959,1.25e-13,8.59e-16,12.8,25.8685,5.19734
212446_s_at,CERS6,ceramide synthase 6,253782,1.25e-13,8.62e-16,12.8,25.8657,2.47471
201476_s_at,RRM1,ribonucleotide reductase catalytic subunit M1,6240,1.31e-13,9.07e-16,12.7,25.8145,3.20243
217986_s_at,BAZ1A,bromodomain adjacent to zinc finger domain 1A,11177,1.32e-13,9.23e-16,12.7,25.7976,2.45341
235333_at,B4GALT6,"beta-1,4-galactosyltransferase 6",9331,1.32e-13,9.26e-16,-12.7,25.7945,-1.92589
227801_at,TRIM59,tripartite motif containing 59,286827,1.35e-13,9.51e-16,12.7,25.7682,3.45644
208750_s_at,MIR3620,microRNA 3620///ADP ribosylation factor 1,100500810,1.35e-13,9.52e-16,12.7,25.7663,5.60166
215695_s_at,GYG2,glycogenin 2,8908,1.37e-13,9.76e-16,-12.7,25.7416,-5.18333
209342_s_at,IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",3551,1.41e-13,1.01e-15,12.7,25.7082,2.38411
203194_s_at,NUP98,nucleoporin 98,4928,1.42e-13,1.03e-15,12.7,25.6913,2.77053
222399_s_at,TM9SF3,transmembrane 9 superfamily member 3,56889,1.42e-13,1.04e-15,12.7,25.6837,3.23411
218013_x_at,DCTN4,dynactin subunit 4,51164,1.42e-13,1.04e-15,12.7,25.6828,3.77945
227909_at,SMIM10L2B,small integral membrane protein 10 like 2B///small integral membrane protein 10 like 2A,644596,1.43e-13,1.06e-15,-12.7,25.6639,-3.69782
206113_s_at,RAB5A,"RAB5A, member RAS oncogene family",5868,1.43e-13,1.06e-15,12.7,25.6595,4.11012
224377_s_at,RAB18,"RAB18, member RAS oncogene family",22931,1.43e-13,1.06e-15,12.7,25.6574,2.31172
219065_s_at,DPY30,"dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1",84661,1.46e-13,1.09e-15,12.7,25.6356,1.26493
224321_at,TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2,23671,1.51e-13,1.13e-15,-12.7,25.5966,-3.85534
222157_s_at,WDR48,WD repeat domain 48,57599,1.56e-13,1.18e-15,12.6,25.5553,2.44307
224492_s_at,ZNF627,zinc finger protein 627,199692,1.61e-13,1.22e-15,12.6,25.5204,3.26424
218930_s_at,TMEM106B,transmembrane protein 106B,54664,1.64e-13,1.25e-15,12.6,25.5002,2.14648
221854_at,PKP1,plakophilin 1,5317,1.64e-13,1.25e-15,-12.6,25.4961,-2.79755
233555_s_at,SULF2,sulfatase 2,55959,1.66e-13,1.27e-15,12.6,25.4811,4.74312
200729_s_at,ACTR2,ARP2 actin related protein 2 homolog,10097,1.67e-13,1.28e-15,12.6,25.4711,3.35685
203630_s_at,COG5,component of oligomeric golgi complex 5,10466,1.67e-13,1.29e-15,12.6,25.4652,3.10758
218129_s_at,NFYB,nuclear transcription factor Y subunit beta,4801,1.69e-13,1.31e-15,12.6,25.4491,2.99781
1555778_a_at,POSTN,periostin,10631,1.7e-13,1.33e-15,12.6,25.4356,5.76817
224396_s_at,ASPN,asporin,54829,1.7e-13,1.33e-15,12.6,25.4335,7.47693
1563111_a_at,PIGX,phosphatidylinositol glycan anchor biosynthesis class X,54965,1.81e-13,1.44e-15,12.6,25.3589,3.45976
215921_at,NPIPA5,nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3,100288332,1.81e-13,1.44e-15,12.6,25.3575,3.61688
201179_s_at,GNAI3,G protein subunit alpha i3,2773,2e-13,1.61e-15,12.5,25.2459,2.97326
212115_at,HN1L,hematological and neurological expressed 1 like,90861,2e-13,1.62e-15,12.5,25.2416,1.67366
219376_at,ZNF322,zinc finger protein 322,79692,2.02e-13,1.64e-15,12.5,25.226,2.28716
1554627_a_at,ASCC1,activating signal cointegrator 1 complex subunit 1,51008,2.02e-13,1.65e-15,12.5,25.2194,3.52596
220765_s_at,LIMS2,LIM zinc finger domain containing 2,55679,2.02e-13,1.66e-15,-12.5,25.2162,-2.73411
216593_s_at,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,5279,2.1e-13,1.73e-15,12.5,25.1755,3.50421
224909_s_at,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",57580,2.14e-13,1.77e-15,12.5,25.1505,3.48757
203360_s_at,GJA9-MYCBP,GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein,100527950,2.18e-13,1.81e-15,12.5,25.1302,2.30323
209057_x_at,CDC5L,cell division cycle 5 like,988,2.18e-13,1.82e-15,-12.5,25.1243,-3.54799
218781_at,SMC6,structural maintenance of chromosomes 6,79677,2.19e-13,1.84e-15,12.5,25.1133,2.16308
223246_s_at,STRBP,spermatid perinuclear RNA binding protein,55342,2.19e-13,1.84e-15,12.5,25.1122,2.56713
1555618_s_at,SAE1,SUMO1 activating enzyme subunit 1,10055,2.21e-13,1.88e-15,12.5,25.0942,3.64481
225681_at,CTHRC1,collagen triple helix repeat containing 1,115908,2.21e-13,1.88e-15,12.5,25.0903,4.93034
209667_at,CES2,carboxylesterase 2,8824,2.35e-13,2e-15,-12.4,25.0284,-1.7804
223423_at,GPR160,G protein-coupled receptor 160,26996,2.41e-13,2.06e-15,12.4,24.9993,4.98041
209955_s_at,FAP,fibroblast activation protein alpha,2191,2.54e-13,2.18e-15,12.4,24.9437,4.94137
225872_at,SLC35F5,solute carrier family 35 member F5,80255,2.59e-13,2.23e-15,12.4,24.9213,1.90017
218806_s_at,VAV3,vav guanine nucleotide exchange factor 3,10451,2.61e-13,2.26e-15,12.4,24.9091,4.97179
233558_s_at,TRAPPC11,trafficking protein particle complex 11,60684,2.62e-13,2.28e-15,12.4,24.9013,3.23818
1555460_a_at,SLC39A6,solute carrier family 39 member 6,25800,2.69e-13,2.35e-15,12.4,24.8692,6.28328
218474_s_at,KCTD5,potassium channel tetramerization domain containing 5,54442,2.7e-13,2.37e-15,12.4,24.8631,2.82514
211458_s_at,GABARAPL3,GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1,23766,2.74e-13,2.42e-15,-12.4,24.8428,-1.93245
207108_s_at,NIPBL,"NIPBL, cohesin loading factor",25836,2.77e-13,2.46e-15,12.4,24.8258,3.12404
201399_s_at,TRAM1,translocation associated membrane protein 1,23471,2.78e-13,2.47e-15,12.4,24.8204,4.15737
235387_at,GSTCD,glutathione S-transferase C-terminal domain containing,79807,2.81e-13,2.53e-15,12.3,24.7977,2.638
206438_x_at,TCTN2,tectonic family member 2,79867,2.81e-13,2.53e-15,-12.3,24.7959,-2.75388
209842_at,SOX10,SRY-box 10,6663,2.89e-13,2.61e-15,-12.3,24.7653,-5.1775
202583_s_at,RANBP9,RAN binding protein 9,10048,2.95e-13,2.67e-15,12.3,24.7433,4.01746
218782_s_at,ATAD2,"ATPase family, AAA domain containing 2",29028,3.11e-13,2.85e-15,12.3,24.6809,4.10523
41660_at,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,9620,3.21e-13,2.95e-15,12.3,24.6435,4.06412
226571_s_at,PTPRS,"protein tyrosine phosphatase, receptor type S",5802,3.23e-13,2.98e-15,-12.3,24.6346,-2.74298
210944_s_at,CAPN3,calpain 3,825,3.23e-13,2.99e-15,-12.3,24.6304,-2.51495
204313_s_at,CREB1,cAMP responsive element binding protein 1,1385,3.34e-13,3.1e-15,12.3,24.5943,2.32828
228888_at,STAC2,SH3 and cysteine rich domain 2,342667,3.47e-13,3.25e-15,-12.3,24.5479,-2.68408
