MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Alzheimer Disease	Memory Disorders	0.842904
Alzheimer Disease	Dementia, Vascular	0.905955
Alzheimer Disease	Cognition Disorders	0.887207
Alzheimer Disease	Amphetamine-Related Disorders	0.754207
Alzheimer Disease	Atrophy	0.815629
Mitral Valve Prolapse	Aortic Valve Stenosis	0.731089
Mitral Valve Prolapse	Heart Valve Diseases	0.93182
Mitral Valve Prolapse	Pulmonary Valve Stenosis	0.748226
Mitral Valve Prolapse	Heart Septal Defects	0.717855
Mitral Valve Prolapse	Cardiomyopathy, Hypertrophic	0.757464
Gallbladder Neoplasms	Hepatic Veno-Occlusive Disease	0.7276
Gallbladder Neoplasms	Cholangitis, Sclerosing	0.703813
Gallbladder Neoplasms	Spherocytosis, Hereditary	0.741579
Port-Wine Stain	Cafe-au-Lait Spots	0.763852
Port-Wine Stain	Fibrous Dysplasia, Polyostotic	0.763921
Port-Wine Stain	Colorectal Neoplasms, Hereditary Nonpolyposis	0.749859
Pituitary Neoplasms	Optic Nerve Diseases	0.715017
Refractive Errors	Amblyopia	0.904725
Refractive Errors	Anisometropia	0.916668
Myoclonus	Creutzfeldt-Jakob Syndrome	0.837944
Myoclonus	Unverricht-Lundborg Syndrome	0.954774
Myoclonus	Neuroblastoma	0.740405
Myoclonus	Epilepsies, Myoclonic	0.73974
Bipolar Disorder	Depressive Disorder	0.840119
Bipolar Disorder	Depressive Disorder, Major	0.844747
Charcot-Marie-Tooth Disease	Muscular Diseases	0.704395
Charcot-Marie-Tooth Disease	Neuromuscular Diseases	0.876631
Charcot-Marie-Tooth Disease	Myositis	0.793001
Charcot-Marie-Tooth Disease	Muscular Dystrophies	0.792201
Charcot-Marie-Tooth Disease	Muscular Atrophy	0.975521
Gastrointestinal Hemorrhage	Peptic Ulcer Hemorrhage	0.931482
Respiratory Distress Syndrome, Adult	Acidosis	0.856381
Respiratory Distress Syndrome, Adult	Reperfusion Injury	0.703893
Coloboma	Nails, Malformed	0.810997
Coloboma	Orofaciodigital Syndromes	0.856286
Coloboma	Hypertelorism	0.84669
Coloboma	Chromosome Breakage	0.76645
Coloboma	Wolf-Hirschhorn Syndrome	0.708581
Coloboma	Foot Deformities, Congenital	0.80992
Muscle Hypotonia	Cytochrome-c Oxidase Deficiency	0.716706
Muscle Hypotonia	Mental Retardation, X-Linked	0.797242
Muscle Hypotonia	Myopathies, Structural, Congenital	0.708527
Muscle Hypotonia	Zellweger Syndrome	0.70704
Muscle Hypotonia	Pyruvate Metabolism, Inborn Errors	0.878369
Leukemia, Myeloid, Acute	Pancytopenia	0.701128
